date,tmp,month,hour,dayofweek,mw_2,mw_7,potential
2015-01-08 00:00:00,14.8,1,0,3,3416.89094594838,3607.904502880765,929.9249083176014
2015-01-08 01:00:00,12.5,1,1,3,3328.9975954661927,3609.619438404625,1023.5088316565124
2015-01-08 02:00:00,10.9,1,2,3,3310.251772636904,3573.15836331026,1110.0040411800146
2015-01-08 03:00:00,10.4,1,3,3,3326.862273177748,3538.420320152908,1206.3652538219662
2015-01-08 04:00:00,10.1,1,4,3,3404.965896613502,3542.905393926578,1315.3963868586177
2015-01-08 05:00:00,8.9,1,5,3,3626.72727634314,3590.3443472559006,1485.0808773663712
2015-01-08 06:00:00,7.8,1,6,3,4091.539467518681,3669.451533701773,1734.0826933967032
2015-01-08 07:00:00,7.0,1,7,3,4161.943712993132,3682.712543494673,1768.6489282305329
2015-01-08 08:00:00,6.6,1,8,3,3932.509422216207,3744.364302599496,1705.7309775446597
2015-01-08 09:00:00,5.8,1,9,3,3721.345474672356,3859.062895184358,1718.413290343124
2015-01-08 10:00:00,5.0,1,10,3,3480.3993894442474,3937.9367764989775,1722.39349168344
2015-01-08 11:00:00,4.5,1,11,3,3198.0752570192262,3969.953126742439,1645.424408620518
2015-01-08 12:00:00,3.9,1,12,3,2982.170864731904,3967.556123531037,1521.2903708943263
2015-01-08 13:00:00,3.4,1,13,3,2835.071347630605,3920.763788442516,1400.5691752049945
2015-01-08 14:00:00,3.2,1,14,3,2720.7945072176,3878.5784253955007,1302.8362059289484
2015-01-08 15:00:00,3.3,1,15,3,2650.9847868123043,3858.698855828256,1253.369508464251
2015-01-08 16:00:00,3.9,1,16,3,2640.053622131972,3875.5403116582174,1309.488496187163
2015-01-08 17:00:00,3.9,1,17,3,2743.2295510719914,3987.037034305128,1487.77599697995
2015-01-08 18:00:00,4.4,1,18,3,3052.689098064036,4141.517713087753,1588.1329985334746
2015-01-08 19:00:00,5.1,1,19,3,3140.26070404046,4116.605547048075,1600.0786512228551
2015-01-08 20:00:00,5.5,1,20,3,3176.774177642776,4087.276012627725,1609.9578713112592
2015-01-08 21:00:00,5.9,1,21,3,3132.726869233172,4002.026837045764,1549.16841206684
2015-01-08 22:00:00,6.1,1,22,3,2979.866073857243,3849.898227360785,1440.4495625302743
2015-01-08 23:00:00,6.0,1,23,3,2756.7314999999994,3666.6517,1336.286793246939
2015-01-09 00:00:00,6.0,1,0,4,2601.7526620064887,3509.6163806719446,1263.6550300273102
2015-01-09 01:00:00,6.0,1,1,4,2528.89832062918,3385.177676263378,1245.1832575133044
2015-01-09 02:00:00,5.7,1,2,4,2506.132791421694,3312.469778332398,1241.3759323805807
2015-01-09 03:00:00,5.7,1,3,4,2508.586239028925,3285.934531733172,1239.5311090074065
2015-01-09 04:00:00,5.8,1,4,4,2578.5990257414705,3314.376455564336,1269.0493055948273
2015-01-09 05:00:00,5.9,1,5,4,2789.335829814131,3419.7322252039,1354.927131830515
2015-01-09 06:00:00,6.0,1,6,4,3222.954953344669,3603.6270714018815,1504.0174090389078
2015-01-09 07:00:00,6.1,1,7,4,3313.8604181974606,3726.3280098909822,1486.698019018054
2015-01-09 08:00:00,6.2,1,8,4,3129.182562254738,3800.1695948605056,1380.7697613958694
2015-01-09 09:00:00,6.0,1,9,4,3023.242119739288,3886.2633977663154,1395.994688684316
2015-01-09 10:00:00,5.9,1,10,4,2914.972565436637,3953.8406987687554,1436.803752132018
2015-01-09 11:00:00,5.9,1,11,4,2851.4570451652257,3951.435613447949,1456.9817430952153
2015-01-09 12:00:00,5.8,1,12,4,2816.719620967411,3913.321955941139,1463.9914464384497
2015-01-09 13:00:00,5.6,1,13,4,2810.942593032593,3866.447224380197,1472.9447300000438
2015-01-09 14:00:00,5.5,1,14,4,2811.415597636238,3810.5841901987023,1481.35298357608
2015-01-09 15:00:00,5.7,1,15,4,2848.07983660758,3773.4405835889447,1510.4974432618535
2015-01-09 16:00:00,6.1,1,16,4,2960.095881919489,3787.3038827941127,1604.927632028508
2015-01-09 17:00:00,6.4,1,17,4,3159.2962478473623,3876.0730428498086,1772.1692099320217
2015-01-09 18:00:00,6.7,1,18,4,3498.041869367203,4010.934291978564,1804.2518346619856
2015-01-09 19:00:00,6.9,1,19,4,3631.759326624624,3996.2975431305376,1783.8303491366323
2015-01-09 20:00:00,6.9,1,20,4,3748.71046668914,3937.632078677399,1792.1676828507057
2015-01-09 21:00:00,6.7,1,21,4,3774.9156221158273,3839.4379564936153,1775.4783732944911
2015-01-09 22:00:00,6.4,1,22,4,3668.129665194287,3707.213331545587,1813.760966748675
2015-01-09 23:00:00,5.8,1,23,4,3487.0581000000006,3535.2514,1845.2859932469387
2015-01-10 00:00:00,5.2,1,0,5,3425.4267211889382,3391.2229834804725,1845.4594491625355
2015-01-10 01:00:00,5.0,1,1,5,3434.2214079944647,3272.867768127608,1873.9404836068747
2015-01-10 02:00:00,4.7,1,2,5,3482.4118479004146,3181.2050820513973,1901.2719212704944
2015-01-10 03:00:00,4.3,1,3,5,3576.147399357375,3125.574468753276,1921.0824572681795
2015-01-10 04:00:00,3.9,1,4,5,3732.4059620965295,3127.6909813854645,1937.276489806617
2015-01-10 05:00:00,3.6,1,5,5,4057.907373443559,3188.894968079669,1914.6620467346715
2015-01-10 06:00:00,3.5,1,6,5,4624.49768738991,3295.547713371762,1759.3737859201124
2015-01-10 07:00:00,3.2,1,7,5,4769.131051613464,3379.4571160670457,1800.2413378871042
2015-01-10 08:00:00,2.8,1,8,5,4661.111864601464,3464.1425881019763,2017.769868535588
2015-01-10 09:00:00,2.4,1,9,5,4656.07540260575,3533.5185015913703,2200.2447601107183
2015-01-10 10:00:00,2.0,1,10,5,4628.180396710204,3527.4665474641606,2322.5869178534745
2015-01-10 11:00:00,1.9,1,11,5,4520.049470464588,3459.262196779722,2362.097432224473
2015-01-10 12:00:00,1.9,1,12,5,4373.929640454276,3406.557125672716,2324.849018431201
2015-01-10 13:00:00,1.9,1,13,5,4252.684080031794,3301.162105703855,2255.000080465895
2015-01-10 14:00:00,2.0,1,14,5,4158.346473799807,3146.3332836579,2186.592954955613
2015-01-10 15:00:00,2.2,1,15,5,4108.649363563245,2989.478905584974,2136.048119842677
2015-01-10 16:00:00,2.4,1,16,5,4164.897402576404,2888.739104281511,2114.040381162241
2015-01-10 17:00:00,2.8,1,17,5,4346.258483133635,2927.9248790199026,2144.851197764636
2015-01-10 18:00:00,3.3,1,18,5,4615.782676901848,3224.109439123495,2086.039281249301
2015-01-10 19:00:00,3.6,1,19,5,4675.150869989855,3322.209899181199,2016.4692082324443
2015-01-10 20:00:00,3.6,1,20,5,4658.262680038281,3377.3841448152257,1968.840515085691
2015-01-10 21:00:00,3.6,1,21,5,4519.739590958769,3402.368052645756,1928.323907817072
2015-01-10 22:00:00,3.7,1,22,5,4257.544669100827,3375.77303099286,1901.156850734492
