date,tmp,month,hour,dayofweek,mw_2,mw_7,potential,poten_2,poten_7
2015-01-08 00:00:00,1.499,1,0,3,10657.0,9484.0,2344.4,2482.4,1309.3999999999996
2015-01-08 01:00:00,1.842,1,1,3,10281.0,9152.0,2295.6000000000004,2493.6000000000004,1364.6000000000004
2015-01-08 02:00:00,2.338,1,2,3,10054.0,8799.0,2275.2,2526.2,1271.1999999999998
2015-01-08 03:00:00,2.934,1,3,3,10078.0,8567.0,2396.2,2646.2,1135.1999999999998
2015-01-08 04:00:00,3.446,1,4,3,10415.0,8487.0,2753.8,2930.8,1002.8000000000002
2015-01-08 05:00:00,3.888,1,5,3,11568.0,8428.0,3612.8,3903.8,763.8000000000002
2015-01-08 06:00:00,4.337,1,6,3,12541.0,8122.0,4599.8,4841.8,422.8000000000002
2015-01-08 07:00:00,4.518,1,7,3,12966.0,8179.0,4819.6,5054.6,267.6000000000004
2015-01-08 08:00:00,4.755,1,8,3,13055.0,8340.0,4660.0,4861.0,146.0
2015-01-08 09:00:00,5.151,1,9,3,12973.0,8677.0,4398.799999999999,4445.799999999999,149.79999999999927
2015-01-08 10:00:00,5.671,1,10,3,13002.0,8899.0,4216.6,4131.6,28.600000000000364
2015-01-08 11:00:00,6.149,1,11,3,12819.0,9092.0,3685.7999999999993,3747.7999999999993,20.799999999999272
2015-01-08 12:00:00,6.596,1,12,3,12794.0,9088.0,3756.0,3682.0,0.0
2015-01-08 13:00:00,7.009,1,13,3,12760.0,8940.0,3838.6,3773.6,0.0
2015-01-08 14:00:00,7.112,1,14,3,12728.0,8919.0,3801.0,3757.0,0.0
2015-01-08 15:00:00,6.551,1,15,3,12851.0,9017.0,3776.6,3799.6,0.0
2015-01-08 16:00:00,5.457,1,16,3,13511.0,9664.0,3801.7999999999993,3932.7999999999993,85.79999999999927
2015-01-08 17:00:00,4.591,1,17,3,13551.0,9914.0,3646.4,3871.4,234.39999999999964
2015-01-08 18:00:00,4.333,1,18,3,12984.0,9852.0,3196.0,3490.0,358.0
2015-01-08 19:00:00,4.37,1,19,3,12372.0,9573.0,2864.6000000000004,3160.6000000000004,361.6000000000004
2015-01-08 20:00:00,4.481,1,20,3,11706.0,9422.0,2622.2000000000007,2746.2000000000007,462.2000000000007
2015-01-08 21:00:00,4.487,1,21,3,11872.0,9896.0,2589.4,2697.4,721.3999999999996
2015-01-08 22:00:00,4.492,1,22,3,11783.0,10062.0,2418.8,2593.8,872.7999999999993
2015-01-08 23:00:00,4.614,1,23,3,11079.0,9489.0,2345.8,2480.8,890.7999999999993
2015-01-09 00:00:00,4.795,1,0,4,10511.0,9001.0,2218.4,2336.4,826.3999999999996
2015-01-09 01:00:00,4.974,1,1,4,10177.0,8571.0,2253.6000000000004,2389.6000000000004,783.6000000000004
2015-01-09 02:00:00,5.073,1,2,4,10019.0,8321.0,2342.2,2491.2,793.1999999999998
2015-01-09 03:00:00,5.023,1,3,4,10003.0,8277.0,2318.2,2571.2,845.1999999999998
2015-01-09 04:00:00,5.338,1,4,4,10361.0,8517.0,2721.8,2876.8,1032.8000000000002
2015-01-09 05:00:00,6.104,1,5,4,11397.0,9000.0,3557.8,3732.8,1335.8000000000002
2015-01-09 06:00:00,6.594,1,6,4,12471.0,9226.0,4407.8,4771.8,1526.8000000000002
2015-01-09 07:00:00,6.985,1,7,4,12856.0,9769.0,4770.6,4944.6,1857.6000000000004
2015-01-09 08:00:00,7.66,1,8,4,12799.0,10243.0,4531.0,4605.0,2049.0
2015-01-09 09:00:00,8.51,1,9,4,12662.0,10557.0,4229.799999999999,4134.799999999999,2029.7999999999995
2015-01-09 10:00:00,9.489,1,10,4,12769.0,10781.0,4042.6,3898.6,1910.6000000000004
2015-01-09 11:00:00,10.286,1,11,4,12580.0,10770.0,3536.8,3508.8,1698.7999999999993
2015-01-09 12:00:00,10.764,1,12,4,12561.0,10606.0,3393.0,3449.0,1494.0
2015-01-09 13:00:00,10.805,1,13,4,12507.0,10320.0,3292.6000000000004,3520.6000000000004,1333.6000000000004
2015-01-09 14:00:00,10.62,1,14,4,12503.0,10225.0,3198.0,3532.0,1254.0
2015-01-09 15:00:00,10.23,1,15,4,12646.0,10394.0,3298.6000000000004,3594.6000000000004,1342.6000000000004
2015-01-09 16:00:00,9.946,1,16,4,13388.0,11212.0,3197.8,3809.7999999999993,1633.7999999999993
2015-01-09 17:00:00,9.953,1,17,4,13398.0,11429.0,3023.4,3718.4,1749.3999999999996
2015-01-09 18:00:00,10.314,1,18,4,12779.0,11057.0,2639.0,3285.0,1563.0
2015-01-09 19:00:00,11.139,1,19,4,12210.0,10516.0,2214.6000000000004,2998.6000000000004,1304.6000000000004
2015-01-09 20:00:00,11.776,1,20,4,11580.0,9993.0,1948.2000000000007,2620.2000000000007,1033.2000000000007
2015-01-09 21:00:00,12.046,1,21,4,11651.0,10362.0,1933.4,2476.4,1187.3999999999996
2015-01-09 22:00:00,12.193,1,22,4,11735.0,10440.0,1914.7999999999995,2545.8,1250.7999999999993
2015-01-09 23:00:00,12.236,1,23,4,10996.0,9880.0,1899.7999999999995,2397.8,1281.7999999999993
2015-01-10 00:00:00,12.17,1,0,5,10519.0,9295.0,1661.3999999999996,2344.4,1120.3999999999996
2015-01-10 01:00:00,12.07,1,1,5,10083.0,8901.0,1535.6000000000004,2295.6000000000004,1113.6000000000004
2015-01-10 02:00:00,11.918,1,2,5,9803.0,8551.0,1557.1999999999998,2275.2,1023.1999999999998
2015-01-10 03:00:00,11.688,1,3,5,9828.0,8536.0,1339.1999999999998,2396.2,1104.1999999999998
2015-01-10 04:00:00,11.493,1,4,5,10238.0,8619.0,1411.8000000000002,2753.8,1134.8000000000002
2015-01-10 05:00:00,11.357,1,5,5,11277.0,8921.0,1434.8000000000002,3612.8,1256.8000000000002
2015-01-10 06:00:00,11.217,1,6,5,12299.0,9010.0,1790.8000000000002,4599.8,1310.8000000000002
2015-01-10 07:00:00,11.087,1,7,5,12731.0,9605.0,2264.6000000000004,4819.6,1693.6000000000004
2015-01-10 08:00:00,11.13,1,8,5,12854.0,10117.0,2490.0,4660.0,1923.0
2015-01-10 09:00:00,11.36,1,9,5,12926.0,10705.0,2557.8,4398.799999999999,2177.8
2015-01-10 10:00:00,11.692,1,10,5,13087.0,11068.0,2361.6000000000004,4216.6,2197.6000000000004
2015-01-10 11:00:00,11.938,1,11,5,12757.0,11128.0,2220.8,3685.7999999999993,2056.8
2015-01-10 12:00:00,12.109,1,12,5,12868.0,11004.0,1956.0,3756.0,1892.0
2015-01-10 13:00:00,11.869,1,13,5,12825.0,10816.0,1875.6000000000004,3838.6,1829.6000000000004
2015-01-10 14:00:00,10.696,1,14,5,12772.0,10834.0,1901.0,3801.0,1863.0
2015-01-10 15:00:00,9.135,1,15,5,12828.0,11072.0,1835.6000000000004,3776.6,2020.6000000000004
2015-01-10 16:00:00,7.633,1,16,5,13380.0,11515.0,1902.7999999999995,3801.7999999999993,1936.7999999999995
2015-01-10 17:00:00,6.343,1,17,5,13326.0,11503.0,2014.4,3646.4,1823.4
2015-01-10 18:00:00,5.078,1,18,5,12690.0,11098.0,1755.0,3196.0,1604.0
2015-01-10 19:00:00,3.935,1,19,5,12076.0,10692.0,1598.6000000000004,2864.6000000000004,1480.6000000000004
2015-01-10 20:00:00,3.193,1,20,5,11582.0,10232.0,1443.2000000000007,2622.2000000000007,1272.2000000000007
2015-01-10 21:00:00,2.582,1,21,5,11764.0,10425.0,1322.3999999999996,2589.4,1250.3999999999996
2015-01-10 22:00:00,2.109,1,22,5,11608.0,10421.0,1365.7999999999993,2418.8,1231.7999999999993
2015-01-10 23:00:00,1.814,1,23,5,10944.0,9941.0,1436.7999999999993,2345.8,1342.7999999999993
2015-01-11 00:00:00,1.57,1,0,6,10393.0,9447.0,1473.3999999999996,2218.4,1272.3999999999996
2015-01-11 01:00:00,1.338,1,1,6,10041.0,9010.0,1428.6000000000004,2253.6000000000004,1222.6000000000004
2015-01-11 02:00:00,1.259,1,2,6,9870.0,8725.0,1455.1999999999998,2342.2,1197.1999999999998
2015-01-11 03:00:00,1.358,1,3,6,9750.0,8591.0,1511.1999999999998,2318.2,1159.1999999999998
2015-01-11 04:00:00,1.585,1,4,6,10206.0,8495.0,1383.8000000000002,2721.8,1010.8000000000002
2015-01-11 05:00:00,1.903,1,5,6,11222.0,8625.0,1290.8000000000002,3557.8,960.8000000000002
2015-01-11 06:00:00,2.314,1,6,6,12107.0,8763.0,1276.8000000000002,4407.8,1063.8000000000002
2015-01-11 07:00:00,2.418,1,7,6,12682.0,9054.0,1491.6000000000004,4770.6,1142.6000000000004
2015-01-11 08:00:00,2.752,1,8,6,12725.0,9587.0,1768.0,4531.0,1393.0
2015-01-11 09:00:00,3.554,1,9,6,12757.0,9981.0,1821.7999999999995,4229.799999999999,1453.7999999999993
2015-01-11 10:00:00,4.549,1,10,6,12913.0,10434.0,1809.6000000000004,4042.6,1563.6000000000004
2015-01-11 11:00:00,5.31,1,11,6,12608.0,10619.0,1824.7999999999995,3536.8,1547.7999999999993
2015-01-11 12:00:00,5.661,1,12,6,12505.0,10391.0,1547.0,3393.0,1279.0
2015-01-11 13:00:00,5.606,1,13,6,12279.0,10139.0,1358.6000000000004,3292.6000000000004,1152.6000000000004
2015-01-11 14:00:00,5.197,1,14,6,12169.0,10001.0,1216.0,3198.0,1030.0
2015-01-11 15:00:00,4.737,1,15,6,12350.0,9950.0,1234.6000000000004,3298.6000000000004,898.6000000000004
2015-01-11 16:00:00,4.574,1,16,6,12776.0,10873.0,1518.7999999999993,3197.8,1294.7999999999993
2015-01-11 17:00:00,4.596,1,17,6,12703.0,11355.0,1774.3999999999996,3023.4,1675.3999999999996
2015-01-11 18:00:00,4.664,1,18,6,12133.0,11331.0,1821.0,2639.0,1837.0
2015-01-11 19:00:00,4.956,1,19,6,11426.0,10944.0,1736.6000000000004,2214.6000000000004,1732.6000000000004
2015-01-11 20:00:00,5.312,1,20,6,10908.0,10534.0,1500.2000000000007,1948.2000000000007,1574.2000000000007
2015-01-11 21:00:00,5.553,1,21,6,11108.0,10646.0,1392.3999999999996,1933.4,1471.3999999999996
2015-01-11 22:00:00,5.732,1,22,6,11104.0,10669.0,1374.7999999999993,1914.7999999999995,1479.7999999999993
2015-01-11 23:00:00,5.923,1,23,6,10498.0,10040.0,1425.7999999999993,1899.7999999999995,1441.7999999999993
