date,tmp,month,hour,dayofweek,mw_2,mw_7,potential
2015-01-08 00:00:00,-4.644,1,0,3,7192.18,5957.57,1821.2225
2015-01-08 01:00:00,-4.709,1,1,3,7120.78,5957.57,1802.3425
2015-01-08 02:00:00,-4.749,1,2,3,6992.29,5878.87,1813.7925000000005
2015-01-08 03:00:00,-4.821,1,3,3,7062.87,5827.8,1926.7825
2015-01-08 04:00:00,-4.843,1,4,3,7480.1,5730.89,2401.317499999999
2015-01-08 05:00:00,-4.603,1,5,3,8560.81,5668.53,3478.8099999999995
2015-01-08 06:00:00,-4.334,1,6,3,9071.45,5600.76,3982.644999999999
2015-01-08 07:00:00,-3.916,1,7,3,9131.64,5651.05,4075.8625
2015-01-08 08:00:00,-3.068,1,8,3,9230.48,6114.63,3718.994999999999
2015-01-08 09:00:00,-2.067,1,9,3,9226.03,6481.25,3335.2249999999995
2015-01-08 10:00:00,-1.188,1,10,3,9195.01,6608.71,3114.414999999999
2015-01-08 11:00:00,-0.577,1,11,3,9285.43,6694.39,3132.67
2015-01-08 12:00:00,-0.317,1,12,3,9253.64,6754.3,3050.7425000000003
2015-01-08 13:00:00,-0.322,1,13,3,9129.36,6864.21,2997.192500000001
2015-01-08 14:00:00,-0.483,1,14,3,9228.01,6932.59,2979.6399999999985
2015-01-08 15:00:00,-0.632,1,15,3,9393.65,7085.23,2794.4975000000013
2015-01-08 16:00:00,-0.634,1,16,3,9673.13,7204.97,2854.0700000000006
2015-01-08 17:00:00,-0.495,1,17,3,9518.67,7164.21,2650.92
2015-01-08 18:00:00,-0.311,1,18,3,9490.4,7008.47,2601.3200000000006
2015-01-08 19:00:00,-0.104,1,19,3,9101.17,6931.78,2329.9700000000003
2015-01-08 20:00:00,0.068,1,20,3,8551.71,6586.66,2079.5975000000008
2015-01-08 21:00:00,0.182,1,21,3,8049.0,6369.96,1731.1350000000002
2015-01-08 22:00:00,0.297,1,22,3,7629.86,6078.25,1596.5100000000002
2015-01-08 23:00:00,0.454,1,23,3,7411.19,5919.82,1611.7924999999996
2015-01-09 00:00:00,0.654,1,0,4,7474.7,5963.14,1675.2725
2015-01-09 01:00:00,1.015,1,1,4,7386.94,5890.23,1615.2924999999996
2015-01-09 02:00:00,1.151,1,2,4,7264.08,5742.16,1613.9925000000003
2015-01-09 03:00:00,0.949,1,3,4,7336.79,5759.39,1742.062499999999
2015-01-09 04:00:00,0.813,1,4,4,7799.69,5976.91,2166.6775
2015-01-09 05:00:00,0.729,1,5,4,8878.99,6394.58,3270.33
2015-01-09 06:00:00,0.623,1,6,4,9396.92,6707.46,3753.545
2015-01-09 07:00:00,0.829,1,7,4,9453.78,7028.95,3772.0025
2015-01-09 08:00:00,1.571,1,8,4,9625.23,7425.95,3472.1450000000004
2015-01-09 09:00:00,2.43,1,9,4,9667.28,7755.33,3139.114999999999
2015-01-09 10:00:00,2.951,1,10,4,9677.75,7926.18,2958.4349999999995
2015-01-09 11:00:00,3.182,1,11,4,9760.21,7971.82,2866.070000000001
2015-01-09 12:00:00,3.244,1,12,4,9796.87,8048.68,2796.5325
2015-01-09 13:00:00,3.263,1,13,4,9696.81,8051.63,2674.182500000001
2015-01-09 14:00:00,3.289,1,14,4,9806.48,8164.08,2663.319999999999
2015-01-09 15:00:00,3.388,1,15,4,9800.54,8131.84,2582.6075
2015-01-09 16:00:00,3.636,1,16,4,9901.87,8154.23,2501.38
2015-01-09 17:00:00,3.975,1,17,4,9715.91,8009.76,2249.0199999999986
2015-01-09 18:00:00,4.172,1,18,4,9615.23,7856.46,2145.01
2015-01-09 19:00:00,4.134,1,19,4,9262.91,7645.98,1805.8
2015-01-09 20:00:00,3.987,1,20,4,8682.82,7280.81,1549.4775
2015-01-09 21:00:00,3.715,1,21,4,8167.01,6916.77,1180.6549999999995
2015-01-09 22:00:00,3.388,1,22,4,7736.7,6581.37,1095.8000000000002
2015-01-09 23:00:00,3.143,1,23,4,7505.19,6105.57,825.2325000000001
2015-01-10 00:00:00,3.087,1,0,5,7549.63,6001.52,742.4724999999999
2015-01-10 01:00:00,3.193,1,1,5,7485.12,6023.81,793.7224999999999
2015-01-10 02:00:00,3.532,1,2,5,7378.78,5965.41,865.8425000000007
2015-01-10 03:00:00,4.071,1,3,5,7443.1,5995.28,899.5724999999993
2015-01-10 04:00:00,4.643,1,4,5,7879.07,5976.01,903.4474999999992
2015-01-10 05:00:00,5.272,1,5,5,8940.65,6197.56,1220.12
2015-01-10 06:00:00,5.962,1,6,5,9433.89,6370.0,1525.4649999999992
2015-01-10 07:00:00,6.629,1,7,5,9544.09,6558.46,1756.8424999999995
2015-01-10 08:00:00,7.414,1,8,5,9642.39,7032.48,1704.7149999999992
2015-01-10 09:00:00,8.327,1,9,5,9644.49,7389.51,1669.9049999999995
2015-01-10 10:00:00,9.168,1,10,5,9594.81,7492.89,1668.9349999999995
2015-01-10 11:00:00,9.78,1,11,5,9725.05,7573.28,1412.7200000000012
2015-01-10 12:00:00,9.954,1,12,5,9691.69,7625.24,1211.8925
2015-01-10 13:00:00,9.709,1,13,5,9677.45,7601.25,1055.6025
2015-01-10 14:00:00,9.281,1,14,5,9754.97,7643.31,944.2399999999988
2015-01-10 15:00:00,9.026,1,15,5,9720.19,7872.7,991.5575000000008
2015-01-10 16:00:00,9.081,1,16,5,9810.86,7827.85,937.8500000000004
2015-01-10 17:00:00,9.071,1,17,5,9578.28,7752.22,850.8899999999994
2015-01-10 18:00:00,8.97,1,18,5,9481.77,7550.28,706.5299999999997
2015-01-10 19:00:00,8.513,1,19,5,9118.65,7343.85,540.0300000000007
2015-01-10 20:00:00,7.504,1,20,5,8534.12,6921.65,441.3074999999999
2015-01-10 21:00:00,5.892,1,21,5,8028.34,6734.35,282.1050000000005
2015-01-10 22:00:00,4.191,1,22,5,7601.15,6409.92,388.3900000000003
2015-01-10 23:00:00,2.59,1,23,5,7384.07,6120.2,405.0524999999998
2015-01-11 00:00:00,1.322,1,0,6,7403.68,5987.89,361.6324999999997
2015-01-11 01:00:00,0.344,1,1,6,7298.07,6066.51,464.9224999999997
2015-01-11 02:00:00,-0.505,1,2,6,7178.98,6039.46,543.3425000000007
2015-01-11 03:00:00,-1.321,1,3,6,7258.38,6002.41,576.932499999999
2015-01-11 04:00:00,-1.884,1,4,6,7644.43,5942.26,601.6074999999992
2015-01-11 05:00:00,-1.964,1,5,6,8732.17,6133.26,866.8299999999999
2015-01-11 06:00:00,-1.622,1,6,6,9204.79,6336.43,1126.874999999999
2015-01-11 07:00:00,-0.925,1,7,6,9240.23,6558.13,1415.5725000000002
2015-01-11 08:00:00,-0.001,1,8,6,9395.54,7105.16,1488.2749999999996
2015-01-11 09:00:00,0.896,1,9,6,9448.38,7518.65,1559.0649999999996
2015-01-11 10:00:00,1.601,1,10,6,9438.83,7703.44,1519.1549999999995
2015-01-11 11:00:00,1.923,1,11,6,9458.45,7662.01,1362.1200000000008
2015-01-11 12:00:00,1.861,1,12,6,9437.48,7662.36,1278.3225000000002
2015-01-11 13:00:00,1.518,1,13,6,9354.44,7641.94,1231.8925
2015-01-11 14:00:00,0.983,1,14,6,9438.65,7716.96,1153.1099999999988
2015-01-11 15:00:00,0.593,1,15,6,9508.3,7878.83,1074.0075000000006
2015-01-11 16:00:00,0.526,1,16,6,9458.17,8095.08,1183.13
2015-01-11 17:00:00,0.441,1,17,6,9176.38,8090.63,1236.1299999999992
2015-01-11 18:00:00,0.385,1,18,6,9025.46,7943.93,1217.0
2015-01-11 19:00:00,0.405,1,19,6,8594.48,7763.43,1147.920000000001
2015-01-11 20:00:00,0.41,1,20,6,8004.0,7307.98,1111.5375000000004
2015-01-11 21:00:00,0.424,1,21,6,7477.86,7096.98,1016.3249999999998
2015-01-11 22:00:00,0.435,1,22,6,7100.44,6796.81,1019.7200000000004
2015-01-11 23:00:00,0.446,1,23,6,6597.51,6714.7,1147.0325000000005
2015-01-12 00:00:00,0.576,1,0,0,6470.88,6803.09,1310.9025
2015-01-12 01:00:00,0.602,1,1,0,6476.5,6762.05,1266.2725
2015-01-12 02:00:00,0.604,1,2,0,6430.83,6622.1,1266.1025000000009
