ept,tmp,month,hour,dayofweek,mw_2,mw_7,potential
2015-01-08 00:00:00,-13.9,1,0,3,604.8,643.8,125.11923076923074
2015-01-08 01:00:00,-14.2,1,1,3,584.8,612.9,121.48461538461538
2015-01-08 02:00:00,-14.8,1,2,3,569.3,587.9,116.43461538461544
2015-01-08 03:00:00,-15.6,1,3,3,544.0,570.0,123.59230769230771
2015-01-08 04:00:00,-16.0,1,4,3,559.3,563.5,127.34230769230771
2015-01-08 05:00:00,-17.0,1,5,3,604.3,572.5,150.94615384615383
2015-01-08 06:00:00,-17.8,1,6,3,683.3,585.1,208.1500000000001
2015-01-08 07:00:00,-18.1,1,7,3,758.3,582.8,255.48076923076928
2015-01-08 08:00:00,-19.0,1,8,3,760.7584946,542.6813925,243.5807692307693
2015-01-08 09:00:00,-19.7,1,9,3,774.9831368,528.0400528,234.7846153846153
2015-01-08 10:00:00,-20.4,1,10,3,776.8253415,527.7534453,227.53846153846155
2015-01-08 11:00:00,-20.8,1,11,3,744.7685674,531.7319784,210.4153846153846
2015-01-08 12:00:00,-20.9,1,12,3,747.8834605,571.3413026,202.9538461538461
2015-01-08 13:00:00,-18.0,1,13,3,767.3686039,551.3188284,201.80384615384605
2015-01-08 14:00:00,-13.5,1,14,3,754.1370458,576.9167708,198.53076923076924
2015-01-08 15:00:00,-11.6,1,15,3,784.1186202,615.4974529,200.15
2015-01-08 16:00:00,-9.7,1,16,3,844.0366223,693.8,212.0961538461538
2015-01-08 17:00:00,-8.4,1,17,3,898.0,758.8,217.05384615384628
2015-01-08 18:00:00,-7.4,1,18,3,906.7,763.7,216.12307692307704
2015-01-08 19:00:00,-7.1,1,19,3,895.2,752.8,219.8538461538461
2015-01-08 20:00:00,-7.4,1,20,3,863.6,739.9,211.08461538461552
2015-01-08 21:00:00,-8.5,1,21,3,813.8,719.1,196.40769230769217
2015-01-08 22:00:00,-9.2,1,22,3,739.7,679.0,164.68076923076922
2015-01-08 23:00:00,-9.3,1,23,3,678.1,627.9,133.47692307692307
2015-01-09 00:00:00,-9.4,1,0,4,629.7,583.0,98.11923076923074
2015-01-09 01:00:00,-9.6,1,1,4,605.7,557.6,93.5846153846154
2015-01-09 02:00:00,-10.4,1,2,4,593.1,541.9,83.93461538461543
2015-01-09 03:00:00,-10.9,1,3,4,591.8,532.1,94.29230769230765
2015-01-09 04:00:00,-10.3,1,4,4,589.0,527.3,96.44230769230774
2015-01-09 05:00:00,-10.1,1,5,4,631.2,549.9,120.8461538461538
2015-01-09 06:00:00,-10.0,1,6,4,713.5,592.9,179.35000000000002
2015-01-09 07:00:00,-9.3,1,7,4,780.8,631.4,235.0807692307693
2015-01-09 08:00:00,-8.1,1,8,4,742.6903885,645.6535809,213.0807692307693
2015-01-09 09:00:00,-8.2,1,9,4,718.761926,689.855911,210.0846153846154
2015-01-09 10:00:00,-8.4,1,10,4,721.2764839,687.9838557,208.1384615384616
