date,tmp,month,hour,dayofweek,mw_2,mw_7,potential
2015-01-08 00:00:00,-13.9,1,0,3,2173.5,2338.0,519.2130434782609
2015-01-08 01:00:00,-14.2,1,1,3,2080.4,2164.1,528.9739130434791
2015-01-08 02:00:00,-14.8,1,2,3,2034.1,2060.0,541.5999999999999
2015-01-08 03:00:00,-15.6,1,3,3,2017.9,1989.3,557.108695652174
2015-01-08 04:00:00,-16.0,1,4,3,2045.2,1968.8,590.7739130434782
2015-01-08 05:00:00,-17.0,1,5,3,2174.3,1986.3,687.3608695652174
2015-01-08 06:00:00,-17.8,1,6,3,2439.3,2022.0,868.2739130434793
2015-01-08 07:00:00,-18.1,1,7,3,2620.192328,2015.348132,977.0434782608692
2015-01-08 08:00:00,-19.0,1,8,3,2615.420635,1884.719796,921.0565217391312
2015-01-08 09:00:00,-19.7,1,9,3,2573.13442,1828.24188,851.8739130434778
2015-01-08 10:00:00,-20.4,1,10,3,2390.692067,1813.658101,807.8130434782611
2015-01-08 11:00:00,-20.8,1,11,3,2346.869277,1827.480618,775.2260869565221
2015-01-08 12:00:00,-20.9,1,12,3,2407.739241,1845.360884,729.4130434782596
2015-01-08 13:00:00,-18.0,1,13,3,2382.015074,1890.191813,711.4739130434782
2015-01-08 14:00:00,-13.5,1,14,3,2485.854244,2009.670065,682.534782608695
2015-01-08 15:00:00,-11.6,1,15,3,2649.078612,2283.956571,667.0086956521736
2015-01-08 16:00:00,-9.7,1,16,3,2986.8,2518.0,696.6739130434785
2015-01-08 17:00:00,-8.4,1,17,3,3237.6,2845.7,756.7304347826089
2015-01-08 18:00:00,-7.4,1,18,3,3273.4,2859.5,771.7999999999993
2015-01-08 19:00:00,-7.1,1,19,3,3210.2,2805.8,762.021739130435
2015-01-08 20:00:00,-7.4,1,20,3,3104.3,2743.7,744.3391304347824
2015-01-08 21:00:00,-8.5,1,21,3,2930.7,2669.7,686.6826086956521
2015-01-08 22:00:00,-9.2,1,22,3,2664.4,2438.0,582.4695652173914
2015-01-08 23:00:00,-9.3,1,23,3,2403.2,2220.0,508.1173913043481
2015-01-09 00:00:00,-9.4,1,0,4,2236.8,2039.1,410.4130434782608
2015-01-09 01:00:00,-9.6,1,1,4,2137.7,1909.6,413.2739130434793
