mpt,tmpf,month,hour,dayofweek,kw_2,kw_7
2015-01-01 00:00:00,5.0,1,0,3,,
2015-01-01 01:00:00,6.98,1,1,3,,
2015-01-01 02:00:00,8.06,1,2,3,,
2015-01-01 03:00:00,6.98,1,3,3,,
2015-01-01 04:00:00,10.04,1,4,3,,
2015-01-01 05:00:00,6.08,1,5,3,,
2015-01-01 06:00:00,8.06,1,6,3,,
2015-01-01 07:00:00,6.98,1,7,3,,
2015-01-01 08:00:00,8.96,1,8,3,,
2015-01-01 09:00:00,12.02,1,9,3,,
2015-01-01 10:00:00,15.08,1,10,3,,
2015-01-01 11:00:00,21.02,1,11,3,,
2015-01-01 12:00:00,24.98,1,12,3,,
2015-01-01 13:00:00,23.0,1,13,3,,
2015-01-01 14:00:00,23.0,1,14,3,,
2015-01-01 15:00:00,21.02,1,15,3,,
2015-01-01 16:00:00,19.94,1,16,3,,
2015-01-01 17:00:00,21.02,1,17,3,,
2015-01-01 18:00:00,19.94,1,18,3,,
2015-01-01 19:00:00,19.94,1,19,3,,
2015-01-01 20:00:00,19.94,1,20,3,,
2015-01-01 21:00:00,21.02,1,21,3,,
2015-01-01 22:00:00,21.02,1,22,3,,
2015-01-01 23:00:00,19.04,1,23,3,,
2015-01-02 00:00:00,19.04,1,0,4,,
2015-01-02 01:00:00,17.96,1,1,4,,
2015-01-02 02:00:00,17.96,1,2,4,,
2015-01-02 03:00:00,14.0,1,3,4,,
2015-01-02 04:00:00,15.08,1,4,4,,
2015-01-02 05:00:00,12.92,1,5,4,,
2015-01-02 06:00:00,14.0,1,6,4,,
2015-01-02 07:00:00,15.98,1,7,4,,
2015-01-02 08:00:00,17.06,1,8,4,,
2015-01-02 09:00:00,19.04,1,9,4,,
2015-01-02 10:00:00,21.02,1,10,4,,
2015-01-02 11:00:00,26.06,1,11,4,,
2015-01-02 12:00:00,30.02,1,12,4,,
2015-01-02 13:00:00,30.92,1,13,4,,
2015-01-02 14:00:00,33.08,1,14,4,,
2015-01-02 15:00:00,33.08,1,15,4,,
2015-01-02 16:00:00,32.0,1,16,4,,
2015-01-02 17:00:00,28.04,1,17,4,,
2015-01-02 18:00:00,21.02,1,18,4,,
2015-01-02 19:00:00,21.92,1,19,4,,
2015-01-02 20:00:00,17.06,1,20,4,,
2015-01-02 21:00:00,17.96,1,21,4,,
2015-01-02 22:00:00,17.96,1,22,4,,
2015-01-02 23:00:00,15.98,1,23,4,,
2015-01-03 00:00:00,17.06,1,0,5,412.615360276,
2015-01-03 01:00:00,21.02,1,1,5,404.935956943,
2015-01-03 02:00:00,19.94,1,2,5,394.277283613,
2015-01-03 03:00:00,17.06,1,3,5,402.20924278,
2015-01-03 04:00:00,17.06,1,4,5,406.39751778,
2015-01-03 05:00:00,17.96,1,5,5,408.112414167,
2015-01-03 06:00:00,19.04,1,6,5,400.833351668,
2015-01-03 07:00:00,21.02,1,7,5,413.745204725,
2015-01-03 08:00:00,23.0,1,8,5,403.569810557,
2015-01-03 09:00:00,24.08,1,9,5,393.774434722,
2015-01-03 10:00:00,30.02,1,10,5,338.383722776,
2015-01-03 11:00:00,33.08,1,11,5,318.611621946,
2015-01-03 12:00:00,28.04,1,12,5,256.955909724,
2015-01-03 13:00:00,26.96,1,13,5,196.103395555,
2015-01-03 14:00:00,21.02,1,14,5,203.71666139,
