utc,month,hour,dayofweek,tmpc,mw2day,mw7day,potential
2017-01-01 00:00:00,1,0,6,-3.383,9539.0,8138.0,1429.0
2017-01-01 01:00:00,1,1,6,-3.764,9158.0,7597.0,1421.0
2017-01-01 02:00:00,1,2,6,-4.12,8958.0,7291.0,1333.0
2017-01-01 03:00:00,1,3,6,-4.426,8818.0,7150.0,1180.5
2017-01-01 04:00:00,1,4,6,-4.569,9018.0,7186.0,1035.5
2017-01-01 05:00:00,1,5,6,-4.635,9522.0,7231.0,944.5
2017-01-01 06:00:00,1,6,6,-4.664,9937.0,7232.0,905.5
2017-01-01 07:00:00,1,7,6,-4.607,10541.0,7571.0,982.0
2017-01-01 08:00:00,1,8,6,-4.168,10737.0,8004.0,1081.5
2017-01-01 09:00:00,1,9,6,-3.329,10694.0,8456.0,1142.0
2017-01-01 10:00:00,1,10,6,-2.396,10743.0,8749.0,1051.0
2017-01-01 11:00:00,1,11,6,-1.645,10638.0,8903.0,1064.5
2017-01-01 12:00:00,1,12,6,-1.15,10450.0,8837.0,811.5
2017-01-01 13:00:00,1,13,6,-0.928,10290.0,8626.0,752.5
2017-01-01 14:00:00,1,14,6,-1.027,10372.0,8514.0,664.0
2017-01-01 15:00:00,1,15,6,-1.311,10615.0,8541.0,737.5
2017-01-01 16:00:00,1,16,6,-1.473,11424.0,8913.0,814.5
2017-01-01 17:00:00,1,17,6,-1.509,11480.0,9034.0,953.5
2017-01-01 18:00:00,1,18,6,-1.5,11121.0,8971.0,1117.0
2017-01-01 19:00:00,1,19,6,-1.43,10578.0,8690.0,1067.0
2017-01-01 20:00:00,1,20,6,-1.317,10054.0,8428.0,997.0
2017-01-01 21:00:00,1,21,6,-1.122,10327.0,8676.0,946.5
2017-01-01 22:00:00,1,22,6,-0.914,10481.0,8695.0,905.5
2017-01-01 23:00:00,1,23,6,-0.717,9942.0,8125.0,947.0
2017-01-02 00:00:00,1,0,0,-0.584,9490.0,7687.0,817.0
2017-01-02 01:00:00,1,1,0,-0.413,9005.0,7317.0,896.0
2017-01-02 02:00:00,1,2,0,-0.262,8692.0,7157.0,950.0
2017-01-02 03:00:00,1,3,0,-0.122,8543.0,7162.0,1050.5
2017-01-02 04:00:00,1,4,0,-0.065,8602.0,7472.0,1284.5
2017-01-02 05:00:00,1,5,0,-0.052,8849.0,8003.0,1774.5
2017-01-02 06:00:00,1,6,0,-0.258,9023.0,8304.0,2213.5
2017-01-02 07:00:00,1,7,0,-0.396,9610.0,8958.0,2753.0
2017-01-02 08:00:00,1,8,0,0.113,10142.0,9485.0,3022.5
2017-01-02 09:00:00,1,9,0,1.658,10540.0,9905.0,2968.0
2017-01-02 10:00:00,1,10,0,2.751,10667.0,10116.0,2787.0
2017-01-02 11:00:00,1,11,0,3.502,10677.0,9875.0,2596.5
2017-01-02 12:00:00,1,12,0,3.853,10600.0,9542.0,2148.5
2017-01-02 13:00:00,1,13,0,3.402,10471.0,9410.0,2047.5
2017-01-02 14:00:00,1,14,0,1.924,10526.0,9588.0,2034.0
2017-01-02 15:00:00,1,15,0,0.284,10672.0,9717.0,2266.5
2017-01-02 16:00:00,1,16,0,-0.132,11229.0,10570.0,2598.5
2017-01-02 17:00:00,1,17,0,-0.172,11107.0,10651.0,2640.5
2017-01-02 18:00:00,1,18,0,-0.166,10623.0,10242.0,2510.0
2017-01-02 19:00:00,1,19,0,-0.21,10209.0,9759.0,2071.0
2017-01-02 20:00:00,1,20,0,-0.278,9937.0,9253.0,1813.0
2017-01-02 21:00:00,1,21,0,-0.368,10185.0,9496.0,1786.5
2017-01-02 22:00:00,1,22,0,-0.51,10393.0,9475.0,1704.5
2017-01-02 23:00:00,1,23,0,-0.674,10109.0,8799.0,1666.0
2017-01-03 00:00:00,1,0,1,-0.71,9772.0,8322.0,1434.0
2017-01-03 01:00:00,1,1,1,-0.605,9354.0,7970.0,1481.0
2017-01-03 02:00:00,1,2,1,-0.519,8980.0,7799.0,1542.0
2017-01-03 03:00:00,1,3,1,-0.522,8676.0,7813.0,1632.5
2017-01-03 04:00:00,1,4,1,-0.651,8531.0,8082.0,1969.5
2017-01-03 05:00:00,1,5,1,-0.791,8533.0,8718.0,2755.5
2017-01-03 06:00:00,1,6,1,-0.896,8390.0,9305.0,3509.5
2017-01-03 07:00:00,1,7,1,-1.069,8501.0,10027.0,4242.0
2017-01-03 08:00:00,1,8,1,-0.749,8761.0,10331.0,4316.5
2017-01-03 09:00:00,1,9,1,0.176,9128.0,10380.0,4147.0
2017-01-03 10:00:00,1,10,1,1.217,9464.0,10465.0,3900.0
2017-01-03 11:00:00,1,11,1,2.2,9734.0,10405.0,3398.5
2017-01-03 12:00:00,1,12,1,2.784,9719.0,10235.0,3146.5
2017-01-03 13:00:00,1,13,1,2.828,9535.0,10072.0,3236.5
2017-01-03 14:00:00,1,14,1,2.411,9478.0,10133.0,3316.0
2017-01-03 15:00:00,1,15,1,1.746,9527.0,10396.0,3357.5
2017-01-03 16:00:00,1,16,1,1.358,10039.0,11234.0,3525.5
2017-01-03 17:00:00,1,17,1,1.184,10244.0,11239.0,3371.5
2017-01-03 18:00:00,1,18,1,1.154,10194.0,10797.0,3098.0
2017-01-03 19:00:00,1,19,1,1.148,9975.0,10241.0,2692.0
2017-01-03 20:00:00,1,20,1,1.214,9736.0,9828.0,2248.0
2017-01-03 21:00:00,1,21,1,1.368,9968.0,10073.0,2169.5
2017-01-03 22:00:00,1,22,1,1.619,10014.0,10111.0,1955.5
2017-01-03 23:00:00,1,23,1,1.826,9551.0,9590.0,1878.0
2017-01-04 00:00:00,1,0,2,1.96,9160.0,9091.0,1695.0
2017-01-04 01:00:00,1,1,2,2.258,8829.0,8701.0,1644.0
