utc,month,hour,dayofweek,tmpc,mw2day,mw7day,potential
2017-01-01 00:00:00,1,0,6,1.834,5091.0,5024.0,575.4193333333333
2017-01-01 01:00:00,1,1,6,1.857,4850.0,4841.0,488.5619999999999
2017-01-01 02:00:00,1,2,6,1.79,4769.0,4663.0,359.9923333333336
2017-01-01 03:00:00,1,3,6,1.783,4874.0,4712.0,214.1066666666657
2017-01-01 04:00:00,1,4,6,1.78,5151.0,4905.0,0.0
2017-01-01 05:00:00,1,5,6,1.799,5722.0,5053.0,0.0
2017-01-01 06:00:00,1,6,6,2.532,6546.0,5463.0,0.0
2017-01-01 07:00:00,1,7,6,3.985,7371.0,6082.0,0.0
2017-01-01 08:00:00,1,8,6,5.08,7729.0,6567.0,0.0
2017-01-01 09:00:00,1,9,6,6.188,7873.0,6809.0,0.0
2017-01-01 10:00:00,1,10,6,6.947,7870.0,6704.0,0.0
2017-01-01 11:00:00,1,11,6,7.376,7817.0,6197.0,0.0
2017-01-01 12:00:00,1,12,6,7.483,7565.0,5487.0,0.0
2017-01-01 13:00:00,1,13,6,7.12,7726.0,5535.0,0.0
2017-01-01 14:00:00,1,14,6,5.794,7716.0,5643.0,0.0
2017-01-01 15:00:00,1,15,6,4.755,7918.0,5944.0,0.0
2017-01-01 16:00:00,1,16,6,4.731,8393.0,6390.0,0.0
2017-01-01 17:00:00,1,17,6,4.718,8395.0,6431.0,0.0
2017-01-01 18:00:00,1,18,6,4.785,8034.0,6374.0,0.0
2017-01-01 19:00:00,1,19,6,4.636,7362.0,6165.0,0.0
2017-01-01 20:00:00,1,20,6,4.249,6869.0,5837.0,0.0
2017-01-01 21:00:00,1,21,6,4.142,6489.0,5568.0,119.21733333333395
2017-01-01 22:00:00,1,22,6,3.924,6140.0,5300.0,390.1186666666663
2017-01-01 23:00:00,1,23,6,3.751,5325.0,4725.0,202.1930000000002
2017-01-02 00:00:00,1,0,0,3.595,5287.0,4714.0,145.41933333333327
2017-01-02 01:00:00,1,1,0,3.469,5099.0,4565.0,123.5619999999999
2017-01-02 02:00:00,1,2,0,3.324,4990.0,4437.0,92.9923333333336
2017-01-02 03:00:00,1,3,0,3.216,4977.0,4400.0,100.10666666666566
2017-01-02 04:00:00,1,4,0,3.171,5288.0,4525.0,124.54300000000056
2017-01-02 05:00:00,1,5,0,3.164,5719.0,4640.0,160.8753333333334
2017-01-02 06:00:00,1,6,0,4.008,6316.0,4968.0,277.8206666666665
2017-01-02 07:00:00,1,7,0,5.923,7150.0,5451.0,226.991
2017-01-02 08:00:00,1,8,0,7.262,7720.0,5726.0,136.83733333333203
2017-01-02 09:00:00,1,9,0,8.612,8085.0,5848.0,0.0
2017-01-02 10:00:00,1,10,0,9.593,8272.0,5891.0,0.0
2017-01-02 11:00:00,1,11,0,10.147,8278.0,5787.0,49.12199999999939
2017-01-02 12:00:00,1,12,0,10.303,7982.0,5443.0,155.21966666666685
2017-01-02 13:00:00,1,13,0,9.874,8129.0,5709.0,249.1243333333323
2017-01-02 14:00:00,1,14,0,8.224,8171.0,5810.0,310.6983333333328
2017-01-02 15:00:00,1,15,0,6.776,8455.0,6137.0,406.3220000000001
2017-01-02 16:00:00,1,16,0,6.346,9040.0,6555.0,329.32100000000173
2017-01-02 17:00:00,1,17,0,5.958,9063.0,6589.0,244.6989999999996
2017-01-02 18:00:00,1,18,0,5.566,8655.0,6601.0,211.2573333333321
2017-01-02 19:00:00,1,19,0,5.264,7797.0,6437.0,247.6106666666656
2017-01-02 20:00:00,1,20,0,4.964,6852.0,6036.0,273.1943333333329
2017-01-02 21:00:00,1,21,0,4.724,6414.0,5634.0,230.21733333333395
2017-01-02 22:00:00,1,22,0,4.613,6155.0,5146.0,445.1186666666663
2017-01-02 23:00:00,1,23,0,4.555,5720.0,4752.0,213.1930000000002
2017-01-03 00:00:00,1,0,1,4.516,5583.0,4763.0,169.41933333333327
2017-01-03 01:00:00,1,1,1,4.462,5309.0,4594.0,206.5619999999999
2017-01-03 02:00:00,1,2,1,4.412,5036.0,4464.0,246.9923333333336
2017-01-03 03:00:00,1,3,1,4.295,4917.0,4546.0,282.10666666666566
2017-01-03 04:00:00,1,4,1,4.177,4953.0,4909.0,377.5430000000006
2017-01-03 05:00:00,1,5,1,4.097,5036.0,5505.0,566.8753333333334
2017-01-03 06:00:00,1,6,1,5.074,5274.0,6183.0,834.8206666666665
2017-01-03 07:00:00,1,7,1,7.401,5613.0,6697.0,901.991
2017-01-03 08:00:00,1,8,1,8.938,6074.0,6814.0,669.837333333332
2017-01-03 09:00:00,1,9,1,10.27,6480.0,6841.0,464.601333333334
2017-01-03 10:00:00,1,10,1,11.194,6570.0,6875.0,402.21466666666674
2017-01-03 11:00:00,1,11,1,11.696,6285.0,6941.0,465.1219999999994
2017-01-03 12:00:00,1,12,1,11.795,5752.0,6760.0,542.2196666666669
2017-01-03 13:00:00,1,13,1,11.273,5788.0,6879.0,607.1243333333323
2017-01-03 14:00:00,1,14,1,9.627,5982.0,6835.0,651.6983333333328
2017-01-03 15:00:00,1,15,1,8.208,6276.0,7204.0,852.3220000000001
2017-01-03 16:00:00,1,16,1,7.852,6834.0,7656.0,912.3210000000016
2017-01-03 17:00:00,1,17,1,7.548,6933.0,7668.0,833.6989999999996
2017-01-03 18:00:00,1,18,1,7.299,6896.0,7515.0,685.2573333333321
2017-01-03 19:00:00,1,19,1,7.016,6743.0,7065.0,580.6106666666656
2017-01-03 20:00:00,1,20,1,6.722,6419.0,6504.0,502.1943333333329
2017-01-03 21:00:00,1,21,1,6.534,6186.0,6074.0,397.217333333334
2017-01-03 22:00:00,1,22,1,6.512,5912.0,5763.0,632.1186666666663
2017-01-03 23:00:00,1,23,1,6.626,5209.0,4915.0,309.1930000000002
2017-01-04 00:00:00,1,0,2,6.73,5153.0,4819.0,254.41933333333327
