date,tmpf,month,hour,dayofweek,mw2day,mw7day,potential
2019-01-08 00:00:00,34.0,1,0,1,26316.103,25457.52,3527.295764705883
2019-01-08 01:00:00,34.0,1,1,1,25398.397,24341.429,3523.215764705881
2019-01-08 02:00:00,34.0,1,2,1,24945.985,23409.071,3519.7519411764697
2019-01-08 03:00:00,33.1,1,3,1,24790.966,22785.869,3509.9125294117584
2019-01-08 04:00:00,35.1,1,4,1,24916.312,22584.079,3738.744823529414
2019-01-08 05:00:00,36.0,1,5,1,25463.396,22864.42,4484.058823529416
2019-01-08 06:00:00,36.0,1,6,1,26312.605,23395.256,5691.675294117638
2019-01-08 07:00:00,37.0,1,7,1,27265.662,23677.857,6138.46894117647
2019-01-08 08:00:00,37.0,1,8,1,28017.342,24214.04,5501.427411764707
2019-01-08 09:00:00,37.9,1,9,1,28532.585,25200.511,4879.828588235294
2019-01-08 10:00:00,39.0,1,10,1,28571.068,26137.757,4570.966588235293
2019-01-08 11:00:00,39.0,1,11,1,27964.27,26651.298,4302.616882352944
2019-01-08 12:00:00,39.9,1,12,1,27452.456,26459.484,3927.439882352937
2019-01-08 13:00:00,42.1,1,13,1,27237.863,26251.365,3587.657705882357
2019-01-08 14:00:00,43.0,1,14,1,27368.635,26473.052,3083.516411764708
2019-01-08 15:00:00,46.0,1,15,1,27986.963,27038.929,2749.838235294119
2019-01-08 16:00:00,46.0,1,16,1,29638.411,28685.602,2596.1921176470605
2019-01-08 17:00:00,44.1,1,17,1,32348.137,31094.933,2607.090411764708
2019-01-08 18:00:00,43.0,1,18,1,33049.138,31226.814,2456.3051176470617
2019-01-08 19:00:00,41.0,1,19,1,32798.274,30971.602,2330.485588235293
2019-01-08 20:00:00,42.1,1,20,1,32625.448,30354.775,2072.308647058813
2019-01-08 21:00:00,41.0,1,21,1,31621.982,29238.396,1590.695882352942
2019-01-08 22:00:00,42.1,1,22,1,30043.866,27565.612,1064.15647058823
2019-01-08 23:00:00,44.1,1,23,1,28590.459,25972.328,486.03652941175824
2019-01-09 00:00:00,45.0,1,0,2,27544.941,24899.414,1071.0877647058803
2019-01-09 01:00:00,44.1,1,1,2,27111.195,24356.37,1147.097764705879
2019-01-09 02:00:00,45.0,1,2,2,27168.998,24217.627,1282.1169411764677
2019-01-09 03:00:00,45.0,1,3,2,27590.271,24542.726,1609.5525294117615
2019-01-09 04:00:00,44.1,1,4,2,28703.062,25467.844,2087.940823529414
2019-01-09 05:00:00,44.1,1,5,2,31114.644,27755.815,3123.528823529414
2019-01-09 06:00:00,43.0,1,6,2,34667.82,31082.91,4742.783294117638
2019-01-09 07:00:00,42.1,1,7,2,36438.65,33036.057,5091.179941176466
2019-01-09 08:00:00,42.1,1,8,2,36236.238,33111.222,4216.748411764711
2019-01-09 09:00:00,44.1,1,9,2,35668.499,32950.247,3298.271588235293
2019-01-09 10:00:00,46.0,1,10,2,35349.368,32854.499,2626.959588235295
2019-01-09 11:00:00,45.0,1,11,2,34904.738,32588.103,2676.96988235294
2019-01-09 12:00:00,46.0,1,12,2,34725.302,32327.43,2949.585882352938
2019-01-09 13:00:00,46.0,1,13,2,34984.116,32571.962,3405.1807058823542
2019-01-09 14:00:00,45.0,1,14,2,35266.227,32648.901,3854.4924117647097
2019-01-09 15:00:00,44.1,1,15,2,35794.804,32992.165,4273.655235294122
2019-01-09 16:00:00,43.0,1,16,2,37068.127,34462.496,4546.34911764706
2019-01-09 17:00:00,43.0,1,17,2,38794.717,36262.684,4694.19141176471
2019-01-09 18:00:00,37.9,1,18,2,38710.893,36115.26,4809.396117647062
