ept,mw
2015-01-01 00:00:00,9401
2015-01-01 01:00:00,8957
2015-01-01 02:00:00,8462
2015-01-01 03:00:00,8156
2015-01-01 04:00:00,8126
2015-01-01 05:00:00,8292
2015-01-01 06:00:00,8638
2015-01-01 07:00:00,8927
2015-01-01 08:00:00,9312
2015-01-01 09:00:00,9933
2015-01-01 10:00:00,10432
2015-01-01 11:00:00,11919
2015-01-01 12:00:00,11951
2015-01-01 13:00:00,12067
2015-01-01 14:00:00,11829
2015-01-01 15:00:00,12087
2015-01-01 16:00:00,12683
2015-01-01 17:00:00,12299
2015-01-01 18:00:00,11716
2015-01-01 19:00:00,11365
2015-01-01 20:00:00,10878
2015-01-01 21:00:00,10563
2015-01-01 22:00:00,9824
2015-01-01 23:00:00,8995
2015-01-02 00:00:00,8303
2015-01-02 01:00:00,7876
2015-01-02 02:00:00,7700
2015-01-02 03:00:00,7771
2015-01-02 04:00:00,8255
2015-01-02 05:00:00,9355
2015-01-02 06:00:00,10990
2015-01-02 07:00:00,12458
2015-01-02 08:00:00,13446
2015-01-02 09:00:00,14038
2015-01-02 10:00:00,14021
2015-01-02 11:00:00,13813
2015-01-02 12:00:00,13566
2015-01-02 13:00:00,13543
2015-01-02 14:00:00,13899
2015-01-02 15:00:00,14181
2015-01-02 16:00:00,15086
2015-01-02 17:00:00,14341
2015-01-02 18:00:00,13904
2015-01-02 19:00:00,13403
2015-01-02 20:00:00,12632
2015-01-02 21:00:00,11720
2015-01-02 22:00:00,11180
2015-01-02 23:00:00,10869
2015-01-03 00:00:00,10501
2015-01-03 01:00:00,10213
2015-01-03 02:00:00,10047
2015-01-03 03:00:00,9840
2015-01-03 04:00:00,10137
2015-01-03 05:00:00,10463
2015-01-03 06:00:00,11022
2015-01-03 07:00:00,11918
2015-01-03 08:00:00,12980
2015-01-03 09:00:00,13670
2015-01-03 10:00:00,14458
2015-01-03 11:00:00,14821
2015-01-03 12:00:00,14856
2015-01-03 13:00:00,15101
2015-01-03 14:00:00,15457
2015-01-03 15:00:00,15728
2015-01-03 16:00:00,16127
2015-01-03 17:00:00,15663
2015-01-03 18:00:00,14800
2015-01-03 19:00:00,13959
2015-01-03 20:00:00,13258
2015-01-03 21:00:00,12430
2015-01-03 22:00:00,11604
2015-01-03 23:00:00,11033
2015-01-04 00:00:00,10512
2015-01-04 01:00:00,9963
2015-01-04 02:00:00,9759
2015-01-04 03:00:00,9715
2015-01-04 04:00:00,9865
2015-01-04 05:00:00,10119
2015-01-04 06:00:00,10770
2015-01-04 07:00:00,11637
2015-01-04 08:00:00,12423
2015-01-04 09:00:00,13200
2015-01-04 10:00:00,13474
2015-01-04 11:00:00,13384
2015-01-04 12:00:00,13590
2015-01-04 13:00:00,13786
2015-01-04 14:00:00,13938
2015-01-04 15:00:00,13947
2015-01-04 16:00:00,15051
2015-01-04 17:00:00,15182
2015-01-04 18:00:00,15015
2015-01-04 19:00:00,14561
2015-01-04 20:00:00,14015
2015-01-04 21:00:00,13172
2015-01-04 22:00:00,12148
2015-01-04 23:00:00,11476
2015-01-05 00:00:00,10890
2015-01-05 01:00:00,10460
2015-01-05 02:00:00,10373
2015-01-05 03:00:00,10550
2015-01-05 04:00:00,11098
2015-01-05 05:00:00,13000
2015-01-05 06:00:00,15444
2015-01-05 07:00:00,17613
2015-01-05 08:00:00,18253
2015-01-05 09:00:00,18510
2015-01-05 10:00:00,18724
2015-01-05 11:00:00,17579
2015-01-05 12:00:00,18717
2015-01-05 13:00:00,18950
2015-01-05 14:00:00,18826
2015-01-05 15:00:00,18997
2015-01-05 16:00:00,19272
