ept,mw
2015-01-01 00:00:00,2338.0
2015-01-01 01:00:00,2164.1
2015-01-01 02:00:00,2060.0
2015-01-01 03:00:00,1989.3
2015-01-01 04:00:00,1968.8
2015-01-01 05:00:00,1986.3
2015-01-01 06:00:00,2022.0
2015-01-01 07:00:00,2015.348132
2015-01-01 08:00:00,1884.719796
2015-01-01 09:00:00,1828.24188
2015-01-01 10:00:00,1813.658101
2015-01-01 11:00:00,1827.480618
2015-01-01 12:00:00,1845.360884
2015-01-01 13:00:00,1890.191813
2015-01-01 14:00:00,2009.670065
2015-01-01 15:00:00,2283.956571
2015-01-01 16:00:00,2518.0
2015-01-01 17:00:00,2845.7
2015-01-01 18:00:00,2859.5
2015-01-01 19:00:00,2805.8
2015-01-01 20:00:00,2743.7
2015-01-01 21:00:00,2669.7
2015-01-01 22:00:00,2438.0
2015-01-01 23:00:00,2220.0
2015-01-02 00:00:00,2039.1
2015-01-02 01:00:00,1909.6
2015-01-02 02:00:00,1838.7
2015-01-02 03:00:00,1816.8
2015-01-02 04:00:00,1836.7
2015-01-02 05:00:00,1931.1
2015-01-02 06:00:00,2080.2
2015-01-02 07:00:00,2195.5
2015-01-02 08:00:00,2268.546288
2015-01-02 09:00:00,2323.280401
2015-01-02 10:00:00,2312.93637
2015-01-02 11:00:00,2334.584834
2015-01-02 12:00:00,2174.626409
2015-01-02 13:00:00,2211.120798
2015-01-02 14:00:00,2211.678365
2015-01-02 15:00:00,2381.892301
2015-01-02 16:00:00,2621.2
2015-01-02 17:00:00,2914.2
2015-01-02 18:00:00,2940.1
2015-01-02 19:00:00,2877.5
2015-01-02 20:00:00,2825.1
2015-01-02 21:00:00,2701.1
2015-01-02 22:00:00,2523.2
2015-01-02 23:00:00,2279.1
2015-01-03 00:00:00,2082.3
2015-01-03 01:00:00,1954.5
2015-01-03 02:00:00,1885.8
2015-01-03 03:00:00,1844.8
2015-01-03 04:00:00,1845.5
2015-01-03 05:00:00,1887.3
2015-01-03 06:00:00,1987.5
2015-01-03 07:00:00,2072.240811
2015-01-03 08:00:00,2149.761286
2015-01-03 09:00:00,2216.96002
2015-01-03 10:00:00,2384.821093
2015-01-03 11:00:00,2403.780532
2015-01-03 12:00:00,2415.988825
2015-01-03 13:00:00,2466.732156
2015-01-03 14:00:00,2440.433619
2015-01-03 15:00:00,2527.997759
2015-01-03 16:00:00,2731.1
2015-01-03 17:00:00,2888.6
2015-01-03 18:00:00,2860.3
2015-01-03 19:00:00,2779.7
2015-01-03 20:00:00,2680.2
2015-01-03 21:00:00,2546.7
2015-01-03 22:00:00,2362.1
2015-01-03 23:00:00,2152.1
2015-01-04 00:00:00,1955.3
2015-01-04 01:00:00,1820.8
2015-01-04 02:00:00,1735.9
2015-01-04 03:00:00,1682.4
2015-01-04 04:00:00,1672.4
2015-01-04 05:00:00,1688.6
2015-01-04 06:00:00,1740.1
2015-01-04 07:00:00,1799.7
2015-01-04 08:00:00,1903.548296
2015-01-04 09:00:00,2004.00474
2015-01-04 10:00:00,2164.882599
2015-01-04 11:00:00,2254.951932
2015-01-04 12:00:00,2299.223587
2015-01-04 13:00:00,2309.045235
2015-01-04 14:00:00,2314.340168
2015-01-04 15:00:00,2348.7
2015-01-04 16:00:00,2525.0
2015-01-04 17:00:00,2737.0
2015-01-04 18:00:00,2732.7
2015-01-04 19:00:00,2661.4
2015-01-04 20:00:00,2554.7
2015-01-04 21:00:00,2392.3
2015-01-04 22:00:00,2182.7
2015-01-04 23:00:00,1970.5
2015-01-05 00:00:00,1810.8
2015-01-05 01:00:00,1720.0
2015-01-05 02:00:00,1675.7
2015-01-05 03:00:00,1665.4
2015-01-05 04:00:00,1709.3
2015-01-05 05:00:00,1857.2
2015-01-05 06:00:00,2143.8
2015-01-05 07:00:00,2334.5
2015-01-05 08:00:00,2385.491557
2015-01-05 09:00:00,2424.188923
2015-01-05 10:00:00,2436.688388
2015-01-05 11:00:00,2419.110542
