utc,mw
2017-01-01 00:00:00,6315
2017-01-01 01:00:00,6102
2017-01-01 02:00:00,5830
2017-01-01 03:00:00,5715
2017-01-01 04:00:00,5818
2017-01-01 05:00:00,5774
2017-01-01 06:00:00,6168
2017-01-01 07:00:00,6406
2017-01-01 08:00:00,6677
2017-01-01 09:00:00,6893
2017-01-01 10:00:00,6990
2017-01-01 11:00:00,6891
2017-01-01 12:00:00,6741
2017-01-01 13:00:00,6673
2017-01-01 14:00:00,6716
2017-01-01 15:00:00,7149
2017-01-01 16:00:00,7706
2017-01-01 17:00:00,7828
2017-01-01 18:00:00,7513
2017-01-01 19:00:00,7184
2017-01-01 20:00:00,6789
2017-01-01 21:00:00,6906
2017-01-01 22:00:00,6633
2017-01-01 23:00:00,6353
2017-01-02 00:00:00,6138
2017-01-02 01:00:00,6042
2017-01-02 02:00:00,5914
2017-01-02 03:00:00,6076
2017-01-02 04:00:00,6663
2017-01-02 05:00:00,7383
2017-01-02 06:00:00,8251
2017-01-02 07:00:00,8724
2017-01-02 08:00:00,8992
2017-01-02 09:00:00,9024
2017-01-02 10:00:00,9069
2017-01-02 11:00:00,8942
2017-01-02 12:00:00,8842
2017-01-02 13:00:00,8784
2017-01-02 14:00:00,8842
2017-01-02 15:00:00,9192
2017-01-02 16:00:00,9516
2017-01-02 17:00:00,9374
2017-01-02 18:00:00,8790
2017-01-02 19:00:00,8268
2017-01-02 20:00:00,7761
2017-01-02 21:00:00,7707
2017-01-02 22:00:00,7199
2017-01-02 23:00:00,6876
2017-01-03 00:00:00,6606
2017-01-03 01:00:00,6412
2017-01-03 02:00:00,6316
2017-01-03 03:00:00,6455
2017-01-03 04:00:00,6996
2017-01-03 05:00:00,7645
2017-01-03 06:00:00,8470
2017-01-03 07:00:00,8913
2017-01-03 08:00:00,9132
2017-01-03 09:00:00,9292
2017-01-03 10:00:00,9342
2017-01-03 11:00:00,9156
2017-01-03 12:00:00,9022
2017-01-03 13:00:00,8917
2017-01-03 14:00:00,8910
2017-01-03 15:00:00,9289
2017-01-03 16:00:00,9758
2017-01-03 17:00:00,9659
2017-01-03 18:00:00,9094
2017-01-03 19:00:00,8583
2017-01-03 20:00:00,7985
2017-01-03 21:00:00,7867
2017-01-03 22:00:00,7374
2017-01-03 23:00:00,7062
2017-01-04 00:00:00,6808
2017-01-04 01:00:00,6594
2017-01-04 02:00:00,6400
2017-01-04 03:00:00,6561
2017-01-04 04:00:00,7110
2017-01-04 05:00:00,7884
2017-01-04 06:00:00,8744
2017-01-04 07:00:00,9132
2017-01-04 08:00:00,9408
2017-01-04 09:00:00,9570
2017-01-04 10:00:00,9568
2017-01-04 11:00:00,9369
2017-01-04 12:00:00,9312
2017-01-04 13:00:00,9302
2017-01-04 14:00:00,9252
2017-01-04 15:00:00,9555
2017-01-04 16:00:00,9656
2017-01-04 17:00:00,9445
2017-01-04 18:00:00,8893
2017-01-04 19:00:00,8382
2017-01-04 20:00:00,7922
2017-01-04 21:00:00,7820
2017-01-04 22:00:00,7399
2017-01-04 23:00:00,6970
2017-01-05 00:00:00,6655
2017-01-05 01:00:00,6572
2017-01-05 02:00:00,6386
2017-01-05 03:00:00,6476
2017-01-05 04:00:00,6982
2017-01-05 05:00:00,7648
2017-01-05 06:00:00,8464
2017-01-05 07:00:00,8916
2017-01-05 08:00:00,9156
2017-01-05 09:00:00,9352
2017-01-05 10:00:00,9460
2017-01-05 11:00:00,9355
2017-01-05 12:00:00,9272
2017-01-05 13:00:00,9154
2017-01-05 14:00:00,9165
2017-01-05 15:00:00,9449
2017-01-05 16:00:00,9768
2017-01-05 17:00:00,9642
2017-01-05 18:00:00,9056
2017-01-05 19:00:00,8508
2017-01-05 20:00:00,7991
2017-01-05 21:00:00,7835
2017-01-05 22:00:00,7497
2017-01-05 23:00:00,7149
2017-01-06 00:00:00,6927
2017-01-06 01:00:00,6730
2017-01-06 02:00:00,6510
2017-01-06 03:00:00,6501
2017-01-06 04:00:00,6635
2017-01-06 05:00:00,6660
2017-01-06 06:00:00,7177
2017-01-06 07:00:00,7598
2017-01-06 08:00:00,8004
2017-01-06 09:00:00,8294
2017-01-06 10:00:00,8461
2017-01-06 11:00:00,8279
2017-01-06 12:00:00,8063
2017-01-06 13:00:00,7953
2017-01-06 14:00:00,7923
2017-01-06 15:00:00,8201
2017-01-06 16:00:00,8704
2017-01-06 17:00:00,8734
2017-01-06 18:00:00,8362
2017-01-06 19:00:00,8018
2017-01-06 20:00:00,7648
2017-01-06 21:00:00,7815
2017-01-06 22:00:00,7532
2017-01-06 23:00:00,7297
2017-01-07 00:00:00,7016
2017-01-07 01:00:00,6835
2017-01-07 02:00:00,6630
2017-01-07 03:00:00,6591
2017-01-07 04:00:00,6794
2017-01-07 05:00:00,7108
2017-01-07 06:00:00,7832
2017-01-07 07:00:00,8360
