ept,netload
2019-01-08 00:00:00,41168.876
2019-01-08 01:00:00,39909.717
2019-01-08 02:00:00,39171.759
2019-01-08 03:00:00,39085.17
2019-01-08 04:00:00,39584.978
2019-01-08 05:00:00,41744.206
2019-01-08 06:00:00,45602.884
2019-01-08 07:00:00,48164.216
2019-01-08 08:00:00,48458.389
2019-01-08 09:00:00,48130.982
2019-01-08 10:00:00,47803.112
2019-01-08 11:00:00,47469.546
2019-01-08 12:00:00,46874.619
2019-01-08 13:00:00,46524.141
2019-01-08 14:00:00,45935.997
2019-01-08 15:00:00,45658.582
2019-01-08 16:00:00,46354.06
2019-01-08 17:00:00,48633.264
2019-01-08 18:00:00,50327.942
2019-01-08 19:00:00,50134.155
2019-01-08 20:00:00,49622.18
2019-01-08 21:00:00,48553.595
2019-01-08 22:00:00,46643.614
2019-01-08 23:00:00,44603.54
2019-01-09 00:00:00,43054.198
2019-01-09 01:00:00,42196.355
2019-01-09 02:00:00,42125.592
2019-01-09 03:00:00,42406.578
2019-01-09 04:00:00,43382.473
2019-01-09 05:00:00,45977.163
2019-01-09 06:00:00,50135.036
2019-01-09 07:00:00,53480.658
2019-01-09 08:00:00,54230.367
2019-01-09 09:00:00,54412.773
2019-01-09 10:00:00,54760.741
2019-01-09 11:00:00,54736.081
2019-01-09 12:00:00,54863.54
2019-01-09 13:00:00,55049.495
2019-01-09 14:00:00,54848.279
2019-01-09 15:00:00,54936.344
2019-01-09 16:00:00,55702.995
2019-01-09 17:00:00,57720.729
2019-01-09 18:00:00,59117.701
2019-01-09 19:00:00,58751.464
2019-01-09 20:00:00,58052.834
2019-01-09 21:00:00,56557.396
2019-01-09 22:00:00,54213.823
2019-01-09 23:00:00,51829.984
2019-01-10 00:00:00,50281.262
2019-01-10 01:00:00,49445.284
2019-01-10 02:00:00,49155.432
2019-01-10 03:00:00,49147.629
2019-01-10 04:00:00,50114.14
2019-01-10 05:00:00,52334.149
2019-01-10 06:00:00,56000.034
2019-01-10 07:00:00,58982.728
2019-01-10 08:00:00,59399.771
2019-01-10 09:00:00,59094.252
2019-01-10 10:00:00,58840.563
2019-01-10 11:00:00,58308.644
2019-01-10 12:00:00,57818.464
2019-01-10 13:00:00,57433.425
2019-01-10 14:00:00,56875.71
2019-01-10 15:00:00,56532.406
2019-01-10 16:00:00,56870.973
2019-01-10 17:00:00,58848.708
2019-01-10 18:00:00,60105.072
2019-01-10 19:00:00,59527.136
2019-01-10 20:00:00,58902.042
2019-01-10 21:00:00,57310.829
2019-01-10 22:00:00,54902.731
2019-01-10 23:00:00,52401.38
2019-01-11 00:00:00,50661.126
2019-01-11 01:00:00,49796.553
2019-01-11 02:00:00,49186.75
2019-01-11 03:00:00,49142.278
2019-01-11 04:00:00,49870.155
2019-01-11 05:00:00,51964.563
2019-01-11 06:00:00,55478.057
2019-01-11 07:00:00,58439.178
2019-01-11 08:00:00,58541.287
2019-01-11 09:00:00,57728.639
2019-01-11 10:00:00,56967.18
2019-01-11 11:00:00,56073.111
2019-01-11 12:00:00,54917.514
2019-01-11 13:00:00,53815.356
2019-01-11 14:00:00,52682.272
2019-01-11 15:00:00,52241.065
2019-01-11 16:00:00,52769.484
2019-01-11 17:00:00,54922.509
2019-01-11 18:00:00,56029.64
2019-01-11 19:00:00,55443.287
2019-01-11 20:00:00,54727.666
2019-01-11 21:00:00,53527.117
2019-01-11 22:00:00,51504.601
2019-01-11 23:00:00,49232.722
2019-01-12 00:00:00,47462.723
2019-01-12 01:00:00,46306.307
2019-01-12 02:00:00,45641.093
2019-01-12 03:00:00,45254.003
2019-01-12 04:00:00,45599.862
2019-01-12 05:00:00,46435.898
2019-01-12 06:00:00,47908.44
2019-01-12 07:00:00,49810.39
2019-01-12 08:00:00,51107.399
2019-01-12 09:00:00,52250.521
2019-01-12 10:00:00,52811.41
2019-01-12 11:00:00,52825.217
2019-01-12 12:00:00,52404.108
2019-01-12 13:00:00,51990.636
2019-01-12 14:00:00,51630.747
2019-01-12 15:00:00,51619.226
2019-01-12 16:00:00,52024.171
2019-01-12 17:00:00,53685.077
2019-01-12 18:00:00,54467.476
2019-01-12 19:00:00,53670.362
2019-01-12 20:00:00,52834.622
2019-01-12 21:00:00,51347.42
2019-01-12 22:00:00,49712.883
2019-01-12 23:00:00,47739.393
2019-01-13 00:00:00,46032.426
2019-01-13 01:00:00,44837.243
2019-01-13 02:00:00,44084.169
2019-01-13 03:00:00,43762.937
2019-01-13 04:00:00,43858.711
2019-01-13 05:00:00,44515.319
2019-01-13 06:00:00,45439.567
2019-01-13 07:00:00,46726.019
2019-01-13 08:00:00,47653.375
2019-01-13 09:00:00,48628.088
2019-01-13 10:00:00,49005.273
2019-01-13 11:00:00,49080.942
2019-01-13 12:00:00,49257.213
2019-01-13 13:00:00,48878.492
2019-01-13 14:00:00,48740.546
2019-01-13 15:00:00,48883.532
2019-01-13 16:00:00,49665.622
2019-01-13 17:00:00,51936.555
2019-01-13 18:00:00,53707.472
2019-01-13 19:00:00,53243.293
2019-01-13 20:00:00,52619.352
2019-01-13 21:00:00,51075.869
2019-01-13 22:00:00,49504.568
2019-01-13 23:00:00,47587.714
2019-01-14 00:00:00,46449.178
2019-01-14 01:00:00,45889.203
2019-01-14 02:00:00,45744.991
2019-01-14 03:00:00,46089.49
2019-01-14 04:00:00,47093.904
2019-01-14 05:00:00,49466.966
2019-01-14 06:00:00,53405.21
2019-01-14 07:00:00,56443.758
2019-01-14 08:00:00,57287.671
2019-01-14 09:00:00,57250.205
2019-01-14 10:00:00,56743.352
2019-01-14 11:00:00,55999.165
2019-01-14 12:00:00,55564.846
2019-01-14 13:00:00,55147.879
2019-01-14 14:00:00,54553.191
2019-01-14 15:00:00,54039.823
2019-01-14 16:00:00,54640.054
2019-01-14 17:00:00,56608.372
2019-01-14 18:00:00,58344.66
2019-01-14 19:00:00,57982.614
2019-01-14 20:00:00,57239.719
2019-01-14 21:00:00,55643.387
2019-01-14 22:00:00,53241.228
2019-01-14 23:00:00,50995.715
2019-01-15 00:00:00,49447.659
2019-01-15 01:00:00,48629.308
2019-01-15 02:00:00,48234.837
2019-01-15 03:00:00,48483.339
2019-01-15 04:00:00,49359.904
2019-01-15 05:00:00,51586.753
2019-01-15 06:00:00,55426.338
2019-01-15 07:00:00,58080.351
2019-01-15 08:00:00,58561.795
2019-01-15 09:00:00,58117.029
2019-01-15 10:00:00,57661.866
2019-01-15 11:00:00,57074.786
2019-01-15 12:00:00,56763.967
2019-01-15 13:00:00,56421.263
2019-01-15 14:00:00,55971.572
2019-01-15 15:00:00,55764.632
2019-01-15 16:00:00,56352.661
2019-01-15 17:00:00,58043.299
2019-01-15 18:00:00,59031.857
2019-01-15 19:00:00,58708.733
2019-01-15 20:00:00,57681.84
2019-01-15 21:00:00,56163.79
2019-01-15 22:00:00,53669.204
2019-01-15 23:00:00,51040.184
2019-01-16 00:00:00,49051.363
2019-01-16 01:00:00,47995.894
2019-01-16 02:00:00,47455.654
2019-01-16 03:00:00,47068.59
2019-01-16 04:00:00,47759.592
2019-01-16 05:00:00,49606.634
2019-01-16 06:00:00,53184.885
2019-01-16 07:00:00,55845.252
2019-01-16 08:00:00,56190.761
2019-01-16 09:00:00,55864.926
2019-01-16 10:00:00,55737.861
2019-01-16 11:00:00,55101.658
2019-01-16 12:00:00,54474.003
2019-01-16 13:00:00,54175.564
2019-01-16 14:00:00,53776.086
2019-01-16 15:00:00,53544.106
2019-01-16 16:00:00,54030.588
2019-01-16 17:00:00,55737.806
2019-01-16 18:00:00,56819.793
2019-01-16 19:00:00,56241.967
2019-01-16 20:00:00,55565.512
2019-01-16 21:00:00,54051.44
2019-01-16 22:00:00,51442.741
2019-01-16 23:00:00,49052.09
2019-01-17 00:00:00,47303.884
2019-01-17 01:00:00,46254.446
2019-01-17 02:00:00,45847.458
2019-01-17 03:00:00,45699.263
2019-01-17 04:00:00,46625.106
2019-01-17 05:00:00,48772.557
2019-01-17 06:00:00,52770.324
2019-01-17 07:00:00,55596.004
2019-01-17 08:00:00,55920.369
2019-01-17 09:00:00,55884.425
2019-01-17 10:00:00,55723.31
2019-01-17 11:00:00,55283.645
2019-01-17 12:00:00,54960.749
2019-01-17 13:00:00,54629.047
2019-01-17 14:00:00,54326.438
2019-01-17 15:00:00,53900.181
2019-01-17 16:00:00,54247.128
2019-01-17 17:00:00,55863.412
2019-01-17 18:00:00,56740.541
2019-01-17 19:00:00,56149.411
2019-01-17 20:00:00,55298.024
2019-01-17 21:00:00,53595.529
2019-01-17 22:00:00,50892.149
2019-01-17 23:00:00,48220.382
2019-01-18 00:00:00,46467.763
2019-01-18 01:00:00,45304.668
2019-01-18 02:00:00,44662.005
2019-01-18 03:00:00,44469.344
2019-01-18 04:00:00,45215.062
2019-01-18 05:00:00,47316.753
2019-01-18 06:00:00,50761.567
2019-01-18 07:00:00,53632.721
2019-01-18 08:00:00,54183.901
2019-01-18 09:00:00,54172.542
2019-01-18 10:00:00,54108.641
2019-01-18 11:00:00,53801.469
2019-01-18 12:00:00,53245.991
2019-01-18 13:00:00,52980.572
2019-01-18 14:00:00,52393.251
2019-01-18 15:00:00,51818.221
2019-01-18 16:00:00,51902.547
2019-01-18 17:00:00,53194.988
2019-01-18 18:00:00,54121.127
2019-01-18 19:00:00,53424.906
