date,tmp,month,hour,dayofweek,mw_2,mw_7,poten_2,poten_7
2015-01-08 00:00:00,11.1,1,0,3,10311.614248568025,9844.20026759714,1399.2480022933269,931.834021322442
2015-01-08 01:00:00,11.2,1,1,3,10153.95529745421,9653.45626869012,1433.9491405800618,933.4501118159732
2015-01-08 02:00:00,9.2,1,2,3,10107.504102300156,9502.299658821694,1483.7029127270143,878.4984692485523
2015-01-08 03:00:00,7.9,1,3,3,10198.666935609968,9474.47803556729,1565.6170921167068,841.4281920740286
2015-01-08 04:00:00,7.0,1,4,3,10535.15157698741,9554.37048868239,1719.9624187088357,739.1813304038169
2015-01-08 05:00:00,6.1,1,5,3,11337.83235880477,9741.106981382149,2041.9242805568065,445.1989031341855
2015-01-08 06:00:00,4.9,1,6,3,12340.064320763044,9867.968014191529,2363.481574753354,0.0
2015-01-08 07:00:00,3.8,1,7,3,12402.470954651122,9903.340771174422,2166.7867489462096,0.0
2015-01-08 08:00:00,2.8,1,8,3,11916.13037591043,10027.948683020284,1632.4105165267138,0.0
2015-01-08 09:00:00,1.9,1,9,3,11500.641668620608,10365.792157723532,1140.5305218990543,5.681011001977822
2015-01-08 10:00:00,1.1,1,10,3,11077.182995550802,10703.621443230792,694.3787589467083,320.81720662669795
2015-01-08 11:00:00,0.7,1,11,3,10651.477631574397,10897.493837499756,305.46174045161206,551.4779463769719
2015-01-08 12:00:00,0.2,1,12,3,10291.851492976411,10929.630982861916,16.919733196004017,654.6992230815085
2015-01-08 13:00:00,-0.1,1,13,3,10045.261231982911,10838.469989359226,0.0,594.6218932605316
2015-01-08 14:00:00,0.2,1,14,3,9802.177836792536,10731.549948650723,0.0,555.9868718892612
2015-01-08 15:00:00,1.1,1,15,3,9654.937343876,10669.174415211864,0.0,553.4418702086477
2015-01-08 16:00:00,2.7,1,16,3,9645.770646837738,10751.430866875524,0.0,659.6682850131747
2015-01-08 17:00:00,4.2,1,17,3,10094.841253310622,11216.552025352605,0.0,940.3913637252372
2015-01-08 18:00:00,5.1,1,18,3,10670.468000027658,11355.271730008491,12.8962018133152,697.6999317941481
2015-01-08 19:00:00,5.9,1,19,3,10724.365762551624,11193.949638249083,104.6208909334564,574.2047666309154
2015-01-08 20:00:00,5.8,1,20,3,10665.864847774365,10976.154934050342,203.56726205361883,513.8573483295968
2015-01-08 21:00:00,5.7,1,21,3,10378.518962125869,10684.951054754796,223.79999168555327,530.2320843144807
2015-01-08 22:00:00,5.6,1,22,3,9852.748872429716,10240.35384935634,179.45739265503653,567.0623695816594
2015-01-08 23:00:00,5.3,1,23,3,9321.8114,9740.2865,145.48915052577286,563.9642505257725
2015-01-09 00:00:00,5.0,1,0,4,8991.474419248778,9309.724694239349,79.10817297407993,397.3584479646506
2015-01-09 01:00:00,5.0,1,1,4,8864.33704288824,9044.78623372105,144.33088601409327,324.7800768469024
2015-01-09 02:00:00,5.2,1,2,4,8803.160481392288,8910.154863375701,179.35929181914616,286.3536738025596
2015-01-09 03:00:00,5.4,1,3,4,8848.088675631332,8914.614286578259,215.03883213807052,281.56444308499704
2015-01-09 04:00:00,5.6,1,4,4,9153.717875316876,9093.417104426431,338.5287170383017,278.22794614785744
2015-01-09 05:00:00,5.6,1,5,4,9899.888592861536,9506.316924879611,603.9805146135732,210.408846631648
2015-01-09 06:00:00,5.4,1,6,4,10824.226347556658,10003.939793971613,847.6436015469681,27.357047961922945
2015-01-09 07:00:00,4.3,1,7,4,11028.138981555268,10295.597471449735,792.4547758503559,59.91326574482264
2015-01-09 08:00:00,4.3,1,8,4,10880.907625522515,10428.875766152578,597.1877661387989,145.1559067688613
2015-01-09 09:00:00,4.4,1,9,4,10902.107617049767,10640.762026738752,541.996470328213,280.6508800171978
2015-01-09 10:00:00,4.7,1,10,4,10894.694149778075,10766.879498170398,511.88991317398177,384.0752615663041
2015-01-09 11:00:00,5.0,1,11,4,10777.730648640638,10699.7007734751,431.7147575178533,353.684882352316
2015-01-09 12:00:00,5.4,1,12,4,10557.418661149,10638.388830025764,282.4869013685929,363.4570702453566
2015-01-09 13:00:00,5.8,1,13,4,10438.845211068812,10567.23140308468,194.99711497011776,323.38330698598475
2015-01-09 14:00:00,5.6,1,14,4,10346.843550283753,10456.46105612301,171.28047352229078,280.8979793615472
2015-01-09 15:00:00,5.7,1,15,4,10332.183500173023,10371.232987655438,216.4509551698065,255.50044265222093
2015-01-09 16:00:00,5.5,1,16,4,10456.16559176554,10392.534700362332,364.4030099031916,300.77211849998275
2015-01-09 17:00:00,5.3,1,17,4,11135.424832844406,10757.826058223243,859.2641712170389,481.6653965958758
