ept,tmp,month,hour,dayofweek,mw_2,mw_7
2015-01-08 00:00:00,5.151,1,0,3,23940.0,22734.0
2015-01-08 01:00:00,4.89,1,1,3,22118.0,22734.0
2015-01-08 02:00:00,4.67,1,2,3,21015.0,21286.0
2015-01-08 03:00:00,4.455,1,3,3,20518.0,20264.0
2015-01-08 04:00:00,4.295,1,4,3,20478.0,19905.0
2015-01-08 05:00:00,4.194,1,5,3,20926.0,20010.0
2015-01-08 06:00:00,4.137,1,6,3,21676.0,20377.0
2015-01-08 07:00:00,4.223,1,7,3,22195.0,20094.0
2015-01-08 08:00:00,5.851,1,8,3,23806.0,20637.0
2015-01-08 09:00:00,7.912,1,9,3,25842.0,22250.0
2015-01-08 10:00:00,9.749,1,10,3,26754.0,23547.0
2015-01-08 11:00:00,11.519,1,11,3,26633.0,24133.0
2015-01-08 12:00:00,12.706,1,12,3,26664.0,24713.0
2015-01-08 13:00:00,13.274,1,13,3,26154.0,24672.0
2015-01-08 14:00:00,13.304,1,14,3,24866.0,23528.0
2015-01-08 15:00:00,12.388,1,15,3,24346.0,23118.0
2015-01-08 16:00:00,10.281,1,16,3,24812.0,23606.0
2015-01-08 17:00:00,8.76,1,17,3,27582.0,26447.0
2015-01-08 18:00:00,7.831,1,18,3,29150.0,28020.0
2015-01-08 19:00:00,7.094,1,19,3,30122.0,29014.0
2015-01-08 20:00:00,6.593,1,20,3,31077.0,29571.0
2015-01-08 21:00:00,6.273,1,21,3,30449.0,29031.0
2015-01-08 22:00:00,5.967,1,22,3,28235.0,26798.0
2015-01-08 23:00:00,5.748,1,23,3,25555.0,24298.0
2015-01-09 00:00:00,5.561,1,0,4,23341.0,21881.0
2015-01-09 01:00:00,5.331,1,1,4,22029.0,20495.0
2015-01-09 02:00:00,5.098,1,2,4,21456.0,19730.0
2015-01-09 03:00:00,4.91,1,3,4,21457.0,19500.0
2015-01-09 04:00:00,4.757,1,4,4,22229.0,20113.0
2015-01-09 05:00:00,4.726,1,5,4,25041.0,22153.0
2015-01-09 06:00:00,4.721,1,6,4,29412.0,32383.0
2015-01-09 07:00:00,4.827,1,7,4,33176.0,32383.0
2015-01-09 08:00:00,6.808,1,8,4,35462.0,32383.0
2015-01-09 09:00:00,9.41,1,9,4,36783.0,32383.0
2015-01-09 10:00:00,11.438,1,10,4,36950.0,32358.0
2015-01-09 11:00:00,13.226,1,11,4,36399.0,33955.0
2015-01-09 12:00:00,14.467,1,12,4,36154.0,33955.0
2015-01-09 13:00:00,15.033,1,13,4,34823.0,33955.0
2015-01-09 14:00:00,14.992,1,14,4,33974.0,33955.0
2015-01-09 15:00:00,13.912,1,15,4,33804.0,33955.0
2015-01-09 16:00:00,11.665,1,16,4,34366.0,33955.0
2015-01-09 17:00:00,10.225,1,17,4,36859.0,33955.0
2015-01-09 18:00:00,9.398,1,18,4,38014.0,33955.0
2015-01-09 19:00:00,8.663,1,19,4,38193.0,33955.0
2015-01-09 20:00:00,8.1,1,20,4,37233.0,33851.0
2015-01-09 21:00:00,7.652,1,21,4,34465.0,32324.0
2015-01-09 22:00:00,7.327,1,22,4,31404.0,29866.0
2015-01-09 23:00:00,7.148,1,23,4,28222.0,27243.0
2015-01-10 00:00:00,7.067,1,0,5,25790.0,24723.0
2015-01-10 01:00:00,6.998,1,1,5,24481.0,22861.0
2015-01-10 02:00:00,6.879,1,2,5,23883.0,21963.0
2015-01-10 03:00:00,6.624,1,3,5,23761.0,21540.0
2015-01-10 04:00:00,6.328,1,4,5,24420.0,21642.0
2015-01-10 05:00:00,6.077,1,5,5,27045.0,22434.0
2015-01-10 06:00:00,5.865,1,6,5,32059.0,23787.0
2015-01-10 07:00:00,5.828,1,7,5,35694.0,25305.0
2015-01-10 08:00:00,7.663,1,8,5,36752.0,27745.0
2015-01-10 09:00:00,10.393,1,9,5,37497.0,30101.0
2015-01-10 10:00:00,12.335,1,10,5,37186.0,30495.0
2015-01-10 11:00:00,14.111,1,11,5,36394.0,29893.0
2015-01-10 12:00:00,15.384,1,12,5,36081.0,29659.0
2015-01-10 13:00:00,15.969,1,13,5,34697.0,29268.0
2015-01-10 14:00:00,15.875,1,14,5,34273.0,28375.0
2015-01-10 15:00:00,14.558,1,15,5,34025.0,27840.0
2015-01-10 16:00:00,11.959,1,16,5,34636.0,28102.0
2015-01-10 17:00:00,10.407,1,17,5,37134.0,30973.0
2015-01-10 18:00:00,9.58,1,18,5,38425.0,32130.0
2015-01-10 19:00:00,8.904,1,19,5,38551.0,32763.0
2015-01-10 20:00:00,8.348,1,20,5,37640.0,32875.0
2015-01-10 21:00:00,7.821,1,21,5,34828.0,31532.0
2015-01-10 22:00:00,7.341,1,22,5,31411.0,29366.0
2015-01-10 23:00:00,6.927,1,23,5,28457.0,26818.0
2015-01-11 00:00:00,6.592,1,0,6,25961.0,24299.0
2015-01-11 01:00:00,6.331,1,1,6,24653.0,22546.0
2015-01-11 02:00:00,6.146,1,2,6,24040.0,21480.0
