ept,tmp,month,hour,dayofweek,mw_2,mw_7
2015-01-08 00:00:00,4.327,1,0,3,21259.0,21534.0
2015-01-08 01:00:00,4.118,1,1,3,20186.0,21534.0
2015-01-08 02:00:00,3.929,1,2,3,19612.0,20219.0
2015-01-08 03:00:00,3.746,1,3,3,19599.0,19470.0
2015-01-08 04:00:00,3.636,1,4,3,20115.0,19485.0
2015-01-08 05:00:00,3.56,1,5,3,21654.0,20349.0
2015-01-08 06:00:00,3.552,1,6,3,23099.0,20715.0
2015-01-08 07:00:00,4.337,1,7,3,24579.0,21092.0
2015-01-08 08:00:00,6.001,1,8,3,26930.0,22776.0
2015-01-08 09:00:00,7.466,1,9,3,28752.0,24243.0
2015-01-08 10:00:00,8.525,1,10,3,30062.0,25601.0
2015-01-08 11:00:00,9.24,1,11,3,29464.0,25790.0
2015-01-08 12:00:00,9.577,1,12,3,27375.0,24249.0
2015-01-08 13:00:00,9.463,1,13,3,26138.0,23416.0
2015-01-08 14:00:00,8.534,1,14,3,26166.0,23716.0
2015-01-08 15:00:00,6.862,1,15,3,27222.0,25405.0
2015-01-08 16:00:00,6.094,1,16,3,31679.0,29787.0
2015-01-08 17:00:00,5.828,1,17,3,33459.0,30946.0
2015-01-08 18:00:00,5.551,1,18,3,33678.0,31359.0
2015-01-08 19:00:00,5.349,1,19,3,32689.0,30611.0
2015-01-08 20:00:00,5.193,1,20,3,30770.0,29168.0
2015-01-08 21:00:00,4.998,1,21,3,28087.0,26859.0
2015-01-08 22:00:00,4.822,1,22,3,24915.0,24116.0
2015-01-08 23:00:00,4.607,1,23,3,22270.0,21568.0
2015-01-09 00:00:00,4.444,1,0,4,20523.0,19764.0
2015-01-09 01:00:00,4.416,1,1,4,19664.0,18755.0
2015-01-09 02:00:00,4.436,1,2,4,19541.0,18412.0
2015-01-09 03:00:00,4.52,1,3,4,19965.0,18558.0
2015-01-09 04:00:00,4.507,1,4,4,21832.0,19810.0
2015-01-09 05:00:00,4.42,1,5,4,27800.0,22878.0
2015-01-09 06:00:00,4.461,1,6,4,34532.0,26190.0
2015-01-09 07:00:00,5.448,1,7,4,39273.0,29053.0
2015-01-09 08:00:00,7.188,1,8,4,42099.0,31535.0
