utc,month,hour,dayofweek,tmpc,mw2day,mw7day
2017-01-01 00:00:00,1,0,6,-9.463,4538.0,4169.0
2017-01-01 01:00:00,1,1,6,-9.64,4478.0,4092.0
2017-01-01 02:00:00,1,2,6,-9.759,4496.0,4081.0
2017-01-01 03:00:00,1,3,6,-9.824,4606.0,4132.0
2017-01-01 04:00:00,1,4,6,-9.799,4876.0,4242.0
2017-01-01 05:00:00,1,5,6,-9.722,5292.0,4494.0
2017-01-01 06:00:00,1,6,6,-8.743,5769.0,4955.0
2017-01-01 07:00:00,1,7,6,-6.045,6057.0,5300.0
2017-01-01 08:00:00,1,8,6,-3.27,6058.0,5410.0
2017-01-01 09:00:00,1,9,6,-1.448,6020.0,5420.0
2017-01-01 10:00:00,1,10,6,-0.177,5913.0,5325.0
2017-01-01 11:00:00,1,11,6,0.569,5825.0,5143.0
2017-01-01 12:00:00,1,12,6,0.724,5767.0,5030.0
2017-01-01 13:00:00,1,13,6,0.086,5779.0,5059.0
2017-01-01 14:00:00,1,14,6,-1.826,5954.0,5246.0
2017-01-01 15:00:00,1,15,6,-3.248,6281.0,5646.0
2017-01-01 16:00:00,1,16,6,-3.903,6461.0,5680.0
2017-01-01 17:00:00,1,17,6,-4.459,6326.0,5495.0
2017-01-01 18:00:00,1,18,6,-4.893,6073.0,5242.0
2017-01-01 19:00:00,1,19,6,-5.258,5867.0,5098.0
2017-01-01 20:00:00,1,20,6,-5.526,5737.0,5077.0
2017-01-01 21:00:00,1,21,6,-5.67,5398.0,4874.0
2017-01-01 22:00:00,1,22,6,-5.804,4955.0,4562.0
2017-01-01 23:00:00,1,23,6,-5.986,4635.0,4309.0
2017-01-02 00:00:00,1,0,0,-6.176,4472.0,4176.0
2017-01-02 01:00:00,1,1,0,-6.356,4398.0,4091.0
2017-01-02 02:00:00,1,2,0,-6.544,4333.0,4074.0
2017-01-02 03:00:00,1,3,0,-6.774,4362.0,4118.0
2017-01-02 04:00:00,1,4,0,-7.022,4481.0,4254.0
2017-01-02 05:00:00,1,5,0,-7.22,4748.0,4480.0
2017-01-02 06:00:00,1,6,0,-6.364,5254.0,4907.0
2017-01-02 07:00:00,1,7,0,-3.507,5685.0,5268.0
2017-01-02 08:00:00,1,8,0,-0.896,5923.0,5337.0
2017-01-02 09:00:00,1,9,0,1.02,6042.0,5347.0
2017-01-02 10:00:00,1,10,0,2.467,6076.0,5282.0
2017-01-02 11:00:00,1,11,0,3.255,6015.0,5175.0
2017-01-02 12:00:00,1,12,0,3.434,5959.0,5089.0
2017-01-02 13:00:00,1,13,0,2.483,6042.0,5112.0
2017-01-02 14:00:00,1,14,0,-0.1,6329.0,5314.0
2017-01-02 15:00:00,1,15,0,-1.859,6823.0,5753.0
2017-01-02 16:00:00,1,16,0,-2.487,6858.0,5903.0
2017-01-02 17:00:00,1,17,0,-2.843,6390.0,5785.0
2017-01-02 18:00:00,1,18,0,-3.082,5771.0,5567.0
2017-01-02 19:00:00,1,19,0,-3.267,5328.0,5313.0
2017-01-02 20:00:00,1,20,0,-3.437,5196.0,5202.0
2017-01-02 21:00:00,1,21,0,-3.612,5139.0,4881.0
2017-01-02 22:00:00,1,22,0,-3.619,5016.0,4540.0
2017-01-02 23:00:00,1,23,0,-3.466,4803.0,4258.0
2017-01-03 00:00:00,1,0,1,-3.345,4579.0,4109.0
2017-01-03 01:00:00,1,1,1,-3.337,4423.0,4063.0
2017-01-03 02:00:00,1,2,1,-3.394,4331.0,4086.0
2017-01-03 03:00:00,1,3,1,-3.53,4286.0,4210.0
2017-01-03 04:00:00,1,4,1,-3.689,4282.0,4538.0
2017-01-03 05:00:00,1,5,1,-3.833,4353.0,4994.0
2017-01-03 06:00:00,1,6,1,-2.96,4558.0,5531.0
2017-01-03 07:00:00,1,7,1,-0.46,4799.0,5783.0
2017-01-03 08:00:00,1,8,1,1.637,4951.0,5734.0
2017-01-03 09:00:00,1,9,1,3.159,4992.0,5643.0
2017-01-03 10:00:00,1,10,1,4.108,4960.0,5544.0
2017-01-03 11:00:00,1,11,1,4.42,4826.0,5507.0
2017-01-03 12:00:00,1,12,1,4.136,4698.0,5442.0
2017-01-03 13:00:00,1,13,1,2.863,4700.0,5481.0
2017-01-03 14:00:00,1,14,1,1.094,4879.0,5662.0
2017-01-03 15:00:00,1,15,1,-0.052,5401.0,5949.0
2017-01-03 16:00:00,1,16,1,-0.583,5601.0,6133.0
2017-01-03 17:00:00,1,17,1,-1.0,5549.0,6031.0
2017-01-03 18:00:00,1,18,1,-1.452,5395.0,5762.0
2017-01-03 19:00:00,1,19,1,-1.858,5239.0,5524.0
2017-01-03 20:00:00,1,20,1,-2.164,5250.0,5378.0
2017-01-03 21:00:00,1,21,1,-2.43,5006.0,5029.0
2017-01-03 22:00:00,1,22,1,-2.678,4657.0,4685.0
2017-01-03 23:00:00,1,23,1,-2.912,4426.0,4422.0
2017-01-04 00:00:00,1,0,2,-3.18,4287.0,4274.0
2017-01-04 01:00:00,1,1,2,-3.427,4225.0,4229.0
2017-01-04 02:00:00,1,2,2,-3.595,4235.0,4256.0
2017-01-04 03:00:00,1,3,2,-3.785,4290.0,4384.0
2017-01-04 04:00:00,1,4,2,-3.914,4404.0,4697.0
2017-01-04 05:00:00,1,5,2,-3.94,4671.0,5108.0
2017-01-04 06:00:00,1,6,2,-3.303,5041.0,5588.0
2017-01-04 07:00:00,1,7,2,-1.45,5361.0,5847.0
2017-01-04 08:00:00,1,8,2,0.445,5414.0,5810.0
2017-01-04 09:00:00,1,9,2,1.908,5334.0,5772.0
2017-01-04 10:00:00,1,10,2,2.889,5189.0,5703.0
2017-01-04 11:00:00,1,11,2,3.463,5023.0,5694.0
2017-01-04 12:00:00,1,12,2,3.571,4942.0,5656.0
2017-01-04 13:00:00,1,13,2,2.781,5011.0,5689.0
2017-01-04 14:00:00,1,14,2,0.965,5295.0,5861.0
