date,netload,tmp,month,hour,dayofweek,mw_2,mw_7,poten_2,poten_7
2015-01-08 00:00:00,16801.433,-11.0,1,0,3,11653.532,12571.309,1860.574634920631,2778.351634920631
2015-01-08 01:00:00,16847.443,-11.4,1,1,3,11515.498,12449.182,1936.970666666668,2870.654666666669
2015-01-08 02:00:00,16997.13,-11.9,1,2,3,11580.872,12295.476,2078.0462222222195,2792.6502222222207
2015-01-08 03:00:00,17259.598,-12.4,1,3,3,11693.593,12354.318,2144.3547777777803,2805.079777777779
2015-01-08 04:00:00,17653.417,-12.9,1,4,3,12210.393999999998,12542.606000000002,2412.048063492066,2744.260063492065
2015-01-08 05:00:00,18389.831,-13.4,1,5,3,13126.631,12868.438999999998,2774.8223650793625,2516.6303650793634
2015-01-08 06:00:00,19419.599,-13.9,1,6,3,14432.311000000002,13225.308,3266.4431428571443,2059.440142857145
2015-01-08 07:00:00,19747.3511985,-14.2,1,7,3,14992.78516974,13208.9802379,3338.8737936507914,1674.0127936507906
2015-01-08 08:00:00,18809.7773235,-14.3,1,8,3,14048.3168364,12274.224494199998,2939.865746031752,1454.2567460317514
2015-01-08 09:00:00,16928.224670999996,-14.7,1,9,3,13219.718513999998,11161.276056,2811.3626507936515,1158.6706507936506
2015-01-08 10:00:00,16216.403862,-14.8,1,10,3,12259.532336,10220.841164,2762.0865873015846,913.9395873015836
2015-01-08 11:00:00,15049.390361,-14.9,1,11,3,11710.63605,9536.161369,2574.861873015874,709.3178730158743
2015-01-08 12:00:00,14289.025642,-14.6,1,12,3,10820.200043,9108.231806,2223.142,544.7109999999993
2015-01-08 13:00:00,14085.653123,-14.2,1,13,3,10464.817156,8793.395245,1845.2395873015869,250.2555873015881
2015-01-08 14:00:00,14454.6331497,-12.9,1,14,3,10750.174878,8932.905902999999,1877.4207301587285,169.82773015872772
2015-01-08 15:00:00,14656.5519861,-11.7,1,15,3,11266.620379,9534.419621,1775.4191587301648,139.2961587301652
2015-01-08 16:00:00,15679.3490075,-10.2,1,16,3,12402.3611847,10735.9100222,1858.66819047619,227.50019047619023
2015-01-08 17:00:00,17100.578999999998,-8.6,1,17,3,14034.045,12378.294,2289.6331269841285,633.8821269841283
2015-01-08 18:00:00,17596.09,-7.2,1,18,3,14417.815,12594.156,2373.337015873016,549.6780158730162
2015-01-08 19:00:00,17610.471,-6.4,1,19,3,14455.218,12509.209,2498.134079365076,552.1250793650761
