ept,netload,tmp,month,hour,dayofweek,mw_2,mw_7
2015-01-08 00:00:00,7549.63,-4.644,1,0,3,7192.18,5957.57
2015-01-08 01:00:00,7485.12,-4.709,1,1,3,7120.78,5957.57
2015-01-08 02:00:00,7378.78,-4.749,1,2,3,6992.29,5878.87
2015-01-08 03:00:00,7443.1,-4.821,1,3,3,7062.87,5827.8
2015-01-08 04:00:00,7879.07,-4.843,1,4,3,7480.1,5730.89
2015-01-08 05:00:00,8940.65,-4.603,1,5,3,8560.81,5668.53
2015-01-08 06:00:00,9433.89,-4.334,1,6,3,9071.45,5600.76
2015-01-08 07:00:00,9544.09,-3.916,1,7,3,9131.64,5651.05
2015-01-08 08:00:00,9642.39,-3.068,1,8,3,9230.48,6114.63
2015-01-08 09:00:00,9644.49,-2.067,1,9,3,9226.03,6481.25
2015-01-08 10:00:00,9594.81,-1.188,1,10,3,9195.01,6608.71
2015-01-08 11:00:00,9725.05,-0.577,1,11,3,9285.43,6694.39
2015-01-08 12:00:00,9691.69,-0.317,1,12,3,9253.64,6754.3
2015-01-08 13:00:00,9677.45,-0.322,1,13,3,9129.36,6864.21
2015-01-08 14:00:00,9754.97,-0.483,1,14,3,9228.01,6932.59
2015-01-08 15:00:00,9720.19,-0.632,1,15,3,9393.65,7085.23
2015-01-08 16:00:00,9810.86,-0.634,1,16,3,9673.13,7204.97
2015-01-08 17:00:00,9578.28,-0.495,1,17,3,9518.67,7164.21
2015-01-08 18:00:00,9481.77,-0.311,1,18,3,9490.4,7008.47
2015-01-08 19:00:00,9118.65,-0.104,1,19,3,9101.17,6931.78
2015-01-08 20:00:00,8534.12,0.068,1,20,3,8551.71,6586.66
2015-01-08 21:00:00,8028.34,0.182,1,21,3,8049.0,6369.96
2015-01-08 22:00:00,7601.15,0.297,1,22,3,7629.86,6078.25
2015-01-08 23:00:00,7384.07,0.454,1,23,3,7411.19,5919.82
2015-01-09 00:00:00,7403.68,0.654,1,0,4,7474.7,5963.14
2015-01-09 01:00:00,7298.07,1.015,1,1,4,7386.94,5890.23
2015-01-09 02:00:00,7178.98,1.151,1,2,4,7264.08,5742.16
2015-01-09 03:00:00,7258.38,0.949,1,3,4,7336.79,5759.39
2015-01-09 04:00:00,7644.43,0.813,1,4,4,7799.69,5976.91
2015-01-09 05:00:00,8732.17,0.729,1,5,4,8878.99,6394.58
2015-01-09 06:00:00,9204.79,0.623,1,6,4,9396.92,6707.46
2015-01-09 07:00:00,9240.23,0.829,1,7,4,9453.78,7028.95
2015-01-09 08:00:00,9395.54,1.571,1,8,4,9625.23,7425.95
2015-01-09 09:00:00,9448.38,2.43,1,9,4,9667.28,7755.33
2015-01-09 10:00:00,9438.83,2.951,1,10,4,9677.75,7926.18
2015-01-09 11:00:00,9458.45,3.182,1,11,4,9760.21,7971.82
2015-01-09 12:00:00,9437.48,3.244,1,12,4,9796.87,8048.68
2015-01-09 13:00:00,9354.44,3.263,1,13,4,9696.81,8051.63
2015-01-09 14:00:00,9438.65,3.289,1,14,4,9806.48,8164.08
