date,netload,tmp,month,hour,dayofweek,mw_2,mw_7,poten_2,poten_7
2015-01-08 00:00:00,24256.0,4.327,1,0,3,21259.0,21534.0,0.0,0.0
2015-01-08 01:00:00,23337.0,4.118,1,1,3,20186.0,21534.0,0.0,0.0
2015-01-08 02:00:00,23058.0,3.929,1,2,3,19612.0,20219.0,0.0,0.0
2015-01-08 03:00:00,23350.0,3.746,1,3,3,19599.0,19470.0,0.0,0.0
2015-01-08 04:00:00,24947.0,3.636,1,4,3,20115.0,19485.0,0.0,0.0
2015-01-08 05:00:00,30185.0,3.56,1,5,3,21654.0,20349.0,0.0,0.0
2015-01-08 06:00:00,37189.0,3.552,1,6,3,23099.0,20715.0,0.0,0.0
2015-01-08 07:00:00,41485.0,4.337,1,7,3,24579.0,21092.0,0.0,0.0
2015-01-08 08:00:00,43419.0,6.001,1,8,3,26930.0,22776.0,0.0,0.0
2015-01-08 09:00:00,43305.0,7.466,1,9,3,28752.0,24243.0,0.0,0.0
2015-01-08 10:00:00,42733.0,8.525,1,10,3,30062.0,25601.0,0.0,0.0
2015-01-08 11:00:00,40289.0,9.24,1,11,3,29464.0,25790.0,0.0,0.0
2015-01-08 12:00:00,40382.0,9.577,1,12,3,27375.0,24249.0,0.0,0.0
2015-01-08 13:00:00,41135.0,9.463,1,13,3,26138.0,23416.0,0.0,0.0
2015-01-08 14:00:00,41376.0,8.534,1,14,3,26166.0,23716.0,0.0,0.0
2015-01-08 15:00:00,42484.0,6.862,1,15,3,27222.0,25405.0,0.0,0.0
2015-01-08 16:00:00,45179.0,6.094,1,16,3,31679.0,29787.0,0.0,0.0
2015-01-08 17:00:00,44598.0,5.828,1,17,3,33459.0,30946.0,0.0,0.0
2015-01-08 18:00:00,43351.0,5.551,1,18,3,33678.0,31359.0,0.0,0.0
2015-01-08 19:00:00,40504.0,5.349,1,19,3,32689.0,30611.0,0.0,0.0
2015-01-08 20:00:00,37331.0,5.193,1,20,3,30770.0,29168.0,0.0,0.0
2015-01-08 21:00:00,33141.0,4.998,1,21,3,28087.0,26859.0,0.0,0.0
2015-01-08 22:00:00,29623.0,4.822,1,22,3,24915.0,24116.0,0.0,0.0
2015-01-08 23:00:00,26860.0,4.607,1,23,3,22270.0,21568.0,0.0,0.0
2015-01-09 00:00:00,24819.0,4.444,1,0,4,20523.0,19764.0,0.0,0.0
2015-01-09 01:00:00,23929.0,4.416,1,1,4,19664.0,18755.0,0.0,0.0
2015-01-09 02:00:00,23655.0,4.436,1,2,4,19541.0,18412.0,0.0,0.0
2015-01-09 03:00:00,23961.0,4.52,1,3,4,19965.0,18558.0,0.0,0.0
2015-01-09 04:00:00,25460.0,4.507,1,4,4,21832.0,19810.0,0.0,0.0
2015-01-09 05:00:00,30439.0,4.42,1,5,4,27800.0,22878.0,3913.459999999999,0.0
2015-01-09 06:00:00,37184.0,4.461,1,6,4,34532.0,26190.0,8554.32,212.3199999999997
2015-01-09 07:00:00,42011.0,5.448,1,7,4,39273.0,29053.0,11325.419999999998,1105.4199999999985
2015-01-09 08:00:00,44018.0,7.188,1,8,4,42099.0,31535.0,11883.86,1319.8600000000006
2015-01-09 09:00:00,43678.0,8.395,1,9,4,42423.0,31804.0,11263.2,644.2000000000007
2015-01-09 10:00:00,43370.0,9.206,1,10,4,42205.0,31496.0,11029.14,320.1399999999994
2015-01-09 11:00:00,41118.0,9.74,1,11,4,39772.0,30827.0,9267.1,322.09999999999854
2015-01-09 12:00:00,40543.0,10.226,1,12,4,39334.0,29624.0,10407.4,697.4000000000015
2015-01-09 13:00:00,40940.0,10.15,1,13,4,40422.0,30125.0,12199.94,1902.9399999999987
2015-01-09 14:00:00,41104.0,9.182,1,14,4,41181.0,31251.0,12826.86,2896.8600000000006
2015-01-09 15:00:00,41750.0,7.452,1,15,4,42503.0,33396.0,13102.88,3995.880000000001
2015-01-09 16:00:00,44604.0,6.653,1,16,4,45265.0,38291.0,12184.72,5210.720000000001
2015-01-09 17:00:00,44285.0,6.36,1,17,4,44376.0,38662.0,9627.059999999998,3913.0599999999977
2015-01-09 18:00:00,42845.0,6.143,1,18,4,43008.0,38219.0,7956.879999999997,3167.8799999999974
2015-01-09 19:00:00,40047.0,6.024,1,19,4,40339.0,35572.0,6755.760000000002,1988.760000000002
2015-01-09 20:00:00,36687.0,5.917,1,20,4,37168.0,32695.0,5749.779999999999,1276.7799999999988
2015-01-09 21:00:00,32807.0,5.981,1,21,4,32964.0,29068.0,4112.32,216.3199999999997
2015-01-09 22:00:00,29442.0,6.154,1,22,4,29282.0,25909.0,3094.9399999999987,0.0
2015-01-09 23:00:00,26362.0,6.425,1,23,4,26120.0,22906.0,2436.0200000000004,0.0
2015-01-10 00:00:00,24554.0,6.754,1,0,5,24256.0,20851.0,846.7999999999993,0.0
2015-01-10 01:00:00,23620.0,6.99,1,1,5,23337.0,19712.0,1052.5999999999983,0.0
2015-01-10 02:00:00,22979.0,7.078,1,2,5,23058.0,19264.0,1365.0400000000009,0.0
2015-01-10 03:00:00,22917.0,7.15,1,3,5,23350.0,19298.0,1803.64,0.0
2015-01-10 04:00:00,23598.0,7.206,1,4,5,24947.0,20192.0,2862.7599999999984,0.0
2015-01-10 05:00:00,25982.0,7.182,1,5,5,30185.0,22529.0,6298.459999999999,0.0
2015-01-10 06:00:00,30022.0,7.208,1,6,5,37189.0,25195.0,11211.32,0.0
2015-01-10 07:00:00,32358.0,8.026,1,7,5,41485.0,27383.0,13537.419999999998,0.0
2015-01-10 08:00:00,34749.0,9.622,1,8,5,43419.0,29452.0,13203.86,0.0
2015-01-10 09:00:00,34748.0,11.092,1,9,5,43305.0,29664.0,12145.2,0.0
2015-01-10 10:00:00,33821.0,12.332,1,10,5,42733.0,28845.0,11557.14,0.0
2015-01-10 11:00:00,32219.0,13.218,1,11,5,40289.0,27936.0,9784.1,0.0
2015-01-10 12:00:00,31118.0,13.718,1,12,5,40382.0,27154.0,11455.4,0.0
2015-01-10 13:00:00,30130.0,13.657,1,13,5,41135.0,27167.0,12912.94,0.0
2015-01-10 14:00:00,29897.0,12.667,1,14,5,41376.0,28009.0,13021.86,0.0
2015-01-10 15:00:00,30643.0,10.642,1,15,5,42484.0,30099.0,13083.88,698.880000000001
2015-01-10 16:00:00,34507.0,9.621,1,16,5,45179.0,34795.0,12098.72,1714.7200000000012
