date,netload,tmp,month,hour,dayofweek,mw_2,mw_7,poten_2,poten_7
2015-01-08 00:00:00,1318.9,-2.913,1,0,3,1214.31,1045.47,93.22129032258069,0.0
2015-01-08 01:00:00,1261.35,-3.012,1,1,3,1193.23,1045.47,102.38032258064482,0.0
2015-01-08 02:00:00,1297.72,-2.931,1,2,3,1201.24,1004.79,122.326129032258,0.0
2015-01-08 03:00:00,1274.97,-2.727,1,3,3,1202.41,983.79,123.3229032258064,0.0
2015-01-08 04:00:00,1414.87,-2.633,1,4,3,1327.59,998.67,223.1300000000001,0.0
2015-01-08 05:00:00,1672.86,-2.543,1,5,3,1590.11,1045.17,388.30903225806446,0.0
2015-01-08 06:00:00,1857.95,-2.5,1,6,3,1624.73,1085.06,320.95483870967746,0.0
2015-01-08 07:00:00,1908.64,-1.834,1,7,3,1674.46,1142.36,268.1519354838706,0.0
2015-01-08 08:00:00,1916.57,-0.156,1,8,3,1637.38,1206.03,158.75032258064516,0.0
2015-01-08 09:00:00,1864.11,1.449,1,9,3,1770.17,1257.98,248.613225806452,0.0
2015-01-08 10:00:00,1852.86,2.582,1,10,3,1764.68,1293.85,220.25387096774216,0.0
2015-01-08 11:00:00,1862.35,3.231,1,11,3,1740.94,1284.23,226.67612903225813,0.0
2015-01-08 12:00:00,1909.68,3.364,1,12,3,1782.42,1275.05,332.0380645161288,0.0
2015-01-08 13:00:00,1850.38,2.974,1,13,3,1720.75,1244.09,310.8800000000001,0.0
2015-01-08 14:00:00,1800.94,1.395,1,14,3,1724.43,1248.31,326.42774193548416,0.0
2015-01-08 15:00:00,1881.36,-0.527,1,15,3,1628.02,1139.15,205.798064516129,0.0
2015-01-08 16:00:00,1942.17,-0.686,1,16,3,1727.72,1226.31,235.67903225806435,0.0
2015-01-08 17:00:00,1943.26,-0.435,1,17,3,1733.26,1239.9,210.37548387096808,0.0
2015-01-08 18:00:00,1939.61,-0.044,1,18,3,1716.49,1252.01,184.61709677419344,0.0
2015-01-08 19:00:00,1828.87,0.186,1,19,3,1672.91,1401.98,165.5500000000004,0.0
2015-01-08 20:00:00,1651.94,0.263,1,20,3,1647.54,1327.48,224.0432258064513,0.0
2015-01-08 21:00:00,1528.67,0.403,1,21,3,1521.21,1213.75,192.64161290322545,0.0
2015-01-08 22:00:00,1431.71,0.593,1,22,3,1432.25,1129.61,197.43258064516127,0.0
2015-01-08 23:00:00,1328.2,0.736,1,23,3,1313.5,1061.36,154.7112903225809,0.0
2015-01-09 00:00:00,1249.84,0.882,1,0,4,1253.3,1012.43,132.21129032258068,0.0
2015-01-09 01:00:00,1253.18,0.959,1,1,4,1247.41,987.52,156.56032258064488,0.0
2015-01-09 02:00:00,1221.33,0.883,1,2,4,1237.3,995.53,158.38612903225794,0.0
2015-01-09 03:00:00,1280.4,0.806,1,3,4,1244.27,1013.85,165.18290322580629,0.0
2015-01-09 04:00:00,1362.48,0.581,1,4,4,1384.91,1075.79,280.4500000000003,0.0
2015-01-09 05:00:00,1645.01,0.483,1,5,4,1659.43,1189.06,457.6290322580646,0.0
2015-01-09 06:00:00,1837.68,0.683,1,6,4,1703.39,1281.45,399.6148387096776,0.0
2015-01-09 07:00:00,1887.57,1.374,1,7,4,1706.74,1378.33,300.4319354838706,0.0
2015-01-09 08:00:00,1887.85,2.306,1,8,4,1779.97,1438.05,301.3403225806451,0.0
2015-01-09 09:00:00,1871.94,2.808,1,9,4,1839.19,1438.52,317.63322580645195,0.0
2015-01-09 10:00:00,1890.04,3.123,1,10,4,1855.02,1440.37,310.5938709677421,0.0
2015-01-09 11:00:00,1858.17,3.367,1,11,4,1828.96,1418.31,314.6961290322581,0.0
2015-01-09 12:00:00,1847.33,3.264,1,12,4,1867.76,1434.14,417.3780645161287,0.0
2015-01-09 13:00:00,1812.79,3.032,1,13,4,1802.99,1434.04,393.1200000000001,24.17000000000008
2015-01-09 14:00:00,1815.95,2.583,1,14,4,1777.3,1432.02,379.29774193548405,34.01774193548408
2015-01-09 15:00:00,1871.25,2.013,1,15,4,1848.65,1374.89,426.4280645161291,0.0
2015-01-09 16:00:00,1914.64,1.782,1,16,4,1830.98,1425.28,338.93903225806434,0.0
2015-01-09 17:00:00,1893.29,1.577,1,17,4,1825.1,1434.45,302.215483870968,0.0
2015-01-09 18:00:00,1817.99,1.334,1,18,4,1828.61,1438.18,296.73709677419333,0.0
2015-01-09 19:00:00,1754.9,1.002,1,19,4,1722.05,1391.06,214.69000000000028,0.0
2015-01-09 20:00:00,1503.7,0.706,1,20,4,1701.21,1409.64,277.7132258064514,0.0
2015-01-09 21:00:00,1367.54,0.627,1,21,4,1570.78,1322.33,242.2116129032254,0.0
2015-01-09 22:00:00,1250.53,0.821,1,22,4,1453.59,1242.05,218.77258064516127,7.232580645161306
2015-01-09 23:00:00,1322.41,1.083,1,23,4,1353.23,1153.29,194.44129032258093,0.0
2015-01-10 00:00:00,1263.56,1.454,1,0,5,1318.9,1070.43,197.8112903225808,0.0
2015-01-10 01:00:00,1223.57,1.742,1,1,5,1261.35,1065.42,170.5003225806447,0.0
2015-01-10 02:00:00,1209.45,1.956,1,2,5,1297.72,1018.16,218.806129032258,0.0
2015-01-10 03:00:00,1233.26,2.179,1,3,5,1274.97,1046.01,195.8829032258064,0.0
2015-01-10 04:00:00,1234.53,2.396,1,4,5,1414.87,1091.91,310.4100000000001,0.0
2015-01-10 05:00:00,1377.06,2.599,1,5,5,1672.86,1213.79,471.05903225806446,11.989032258064526
2015-01-10 06:00:00,1505.82,2.744,1,6,5,1857.95,1293.94,554.1748387096775,0.0
2015-01-10 07:00:00,1472.13,3.272,1,7,5,1908.64,1430.46,502.33193548387067,24.1519354838706
2015-01-10 08:00:00,1497.04,4.538,1,8,5,1916.57,1494.59,437.940322580645,15.96032258064497
2015-01-10 09:00:00,1523.2,5.949,1,9,5,1864.11,1544.61,342.5532258064518,23.053225806451792
2015-01-10 10:00:00,1533.06,7.137,1,10,5,1852.86,1522.65,308.433870967742,0.0
2015-01-10 11:00:00,1654.34,7.541,1,11,5,1862.35,1508.28,348.086129032258,0.0
2015-01-10 12:00:00,1584.88,7.047,1,12,5,1909.68,1457.81,459.2980645161288,7.428064516128643
2015-01-10 13:00:00,1558.63,6.208,1,13,5,1850.38,1420.79,440.5100000000002,10.920000000000073
2015-01-10 14:00:00,1539.28,5.274,1,14,5,1800.94,1415.36,402.93774193548415,17.357741935484
2015-01-10 15:00:00,1458.85,4.037,1,15,5,1881.36,1362.61,459.1380645161289,0.0
2015-01-10 16:00:00,1522.77,3.367,1,16,5,1942.17,1415.92,450.1290322580644,0.0
2015-01-10 17:00:00,1557.98,2.916,1,17,5,1943.26,1423.41,420.3754838709681,0.0
2015-01-10 18:00:00,1557.03,2.593,1,18,5,1939.61,1401.02,407.7370967741933,0.0
2015-01-10 19:00:00,1601.03,2.411,1,19,5,1828.87,1394.73,321.5100000000002,0.0
2015-01-10 20:00:00,1479.32,2.4,1,20,5,1651.94,1397.56,228.44322580645144,0.0
2015-01-10 21:00:00,1395.57,2.403,1,21,5,1528.67,1295.06,200.1016129032255,0.0
2015-01-10 22:00:00,1274.71,2.501,1,22,5,1431.71,1180.97,196.8925806451614,0.0
2015-01-10 23:00:00,1231.84,2.697,1,23,5,1328.2,1088.1,169.41129032258095,0.0
2015-01-11 00:00:00,1173.34,2.886,1,0,6,1249.84,1043.86,128.75129032258064,0.0
2015-01-11 01:00:00,1136.94,3.033,1,1,6,1253.18,1001.68,162.33032258064486,0.0
2015-01-11 02:00:00,1131.5,3.067,1,2,6,1221.33,996.09,142.4161290322579,0.0
2015-01-11 03:00:00,1117.62,3.068,1,3,6,1280.4,990.84,201.3129032258064,0.0
2015-01-11 04:00:00,1140.09,3.177,1,4,6,1362.48,1051.83,258.0200000000002,0.0
2015-01-11 05:00:00,1215.91,3.307,1,5,6,1645.01,1107.37,443.20903225806455,0.0
2015-01-11 06:00:00,1296.51,3.447,1,6,6,1837.68,1200.77,533.9048387096775,0.0
2015-01-11 07:00:00,1443.26,3.848,1,7,6,1887.57,1315.43,481.2619354838705,0.0
2015-01-11 08:00:00,1548.13,4.333,1,8,6,1887.85,1416.11,409.22032258064496,0.0
2015-01-11 09:00:00,1655.53,4.799,1,9,6,1871.94,1448.34,350.38322580645195,0.0
2015-01-11 10:00:00,1745.58,5.132,1,10,6,1890.04,1478.54,345.61387096774206,0.0
2015-01-11 11:00:00,1684.83,5.074,1,11,6,1858.17,1414.54,343.9061290322581,0.0
2015-01-11 12:00:00,1622.65,4.514,1,12,6,1847.33,1328.5,396.9480645161286,0.0
2015-01-11 13:00:00,1567.56,3.6,1,13,6,1812.79,1282.2,402.9200000000001,0.0
2015-01-11 14:00:00,1528.06,2.482,1,14,6,1815.95,1283.82,417.94774193548415,0.0
2015-01-11 15:00:00,1545.76,1.221,1,15,6,1871.25,1361.86,449.028064516129,0.0
2015-01-11 16:00:00,1455.24,0.19,1,16,6,1914.64,1362.97,422.5990322580644,0.0
2015-01-11 17:00:00,1482.91,-0.632,1,17,6,1893.29,1361.05,370.40548387096806,0.0
2015-01-11 18:00:00,1641.38,-1.198,1,18,6,1817.99,1409.31,286.11709677419344,0.0
2015-01-11 19:00:00,1578.36,-1.87,1,19,6,1754.9,1520.34,247.5400000000004,12.980000000000246
2015-01-11 20:00:00,1497.81,-2.02,1,20,6,1503.7,1446.76,80.20322580645143,23.263225806451374
2015-01-11 21:00:00,1376.67,-2.084,1,21,6,1367.54,1293.59,38.97161290322538,0.0
2015-01-11 22:00:00,1311.81,-2.318,1,22,6,1250.53,1212.59,15.712580645161324,0.0
2015-01-11 23:00:00,1240.17,-2.467,1,23,6,1322.41,1136.13,163.621290322581,0.0
2015-01-12 00:00:00,1163.44,-2.55,1,0,0,1263.56,1095.18,142.47129032258067,0.0
2015-01-12 01:00:00,1133.38,-2.405,1,1,0,1223.57,1055.47,132.72032258064473,0.0
2015-01-12 02:00:00,1132.81,-2.07,1,2,0,1209.45,1086.36,130.53612903225803,7.446129032257886
2015-01-12 03:00:00,1160.61,-1.764,1,3,0,1233.26,1096.69,154.1729032258063,17.602903225806358
