date,netload,tmp,month,hour,dayofweek,mw_2,mw_7
2015-01-08 00:00:00,1529.9,-13.9,1,0,3,1319.8,1280.8
2015-01-08 01:00:00,1538.5,-14.2,1,1,3,1291.2,1230.8
2015-01-08 02:00:00,1478.5,-14.8,1,2,3,1273.3,1198.5
2015-01-08 03:00:00,1456.9,-15.6,1,3,3,1277.6,1188.9
2015-01-08 04:00:00,1484.0,-16.0,1,4,3,1313.5,1190.9
2015-01-08 05:00:00,1570.1,-17.0,1,5,3,1398.2,1211.6
2015-01-08 06:00:00,1701.6,-17.8,1,6,3,1568.4,1240.7
2015-01-08 07:00:00,1818.9,-18.1,1,7,3,1659.1,1269.8
2015-01-08 08:00:00,1829.517605,-19.0,1,8,3,1652.520987,1314.356085
2015-01-08 09:00:00,1835.296534,-19.7,1,9,3,1641.841146,1351.82866
2015-01-08 10:00:00,1785.800431,-20.4,1,10,3,1641.362981,1359.882224
2015-01-08 11:00:00,1772.441798,-20.8,1,11,3,1625.699201,1371.149418
2015-01-08 12:00:00,1723.468471,-20.9,1,12,3,1618.372295,1409.824545
2015-01-08 13:00:00,1702.178118,-18.0,1,13,3,1584.452244,1369.474107
2015-01-08 14:00:00,1619.88103,-13.5,1,14,3,1568.297706,1378.181503
2015-01-08 15:00:00,1663.282217,-11.6,1,15,3,1636.260867,1367.693635
2015-01-08 16:00:00,1796.2,-9.7,1,16,3,1711.9,1487.2
2015-01-08 17:00:00,1905.0,-8.4,1,17,3,1830.8,1594.9
2015-01-08 18:00:00,1901.6,-7.4,1,18,3,1835.8,1582.9
2015-01-08 19:00:00,1872.8,-7.1,1,19,3,1814.2,1549.3
2015-01-08 20:00:00,1815.2,-7.4,1,20,3,1760.2,1496.8
2015-01-08 21:00:00,1718.7,-8.5,1,21,3,1664.9,1425.8
2015-01-08 22:00:00,1587.6,-9.2,1,22,3,1535.4,1330.2
2015-01-08 23:00:00,1479.4,-9.3,1,23,3,1430.5,1239.9
2015-01-09 00:00:00,1419.0,-9.4,1,0,4,1359.7,1179.4
2015-01-09 01:00:00,1393.0,-9.6,1,1,4,1324.6,1147.4
2015-01-09 02:00:00,1379.1,-10.4,1,2,4,1309.6,1134.3
2015-01-09 03:00:00,1380.2,-10.9,1,3,4,1308.7,1118.3
2015-01-09 04:00:00,1407.1,-10.3,1,4,4,1333.1,1126.8
2015-01-09 05:00:00,1473.4,-10.1,1,5,4,1417.5,1172.0
2015-01-09 06:00:00,1623.3,-10.0,1,6,4,1587.7,1272.4
2015-01-09 07:00:00,1711.9,-9.3,1,7,4,1673.4,1349.3
2015-01-09 08:00:00,1694.943746,-8.1,1,8,4,1640.165898,1362.410027
2015-01-09 09:00:00,1660.653198,-8.2,1,9,4,1573.940497,1363.574918
2015-01-09 10:00:00,1637.243185,-8.4,1,10,4,1555.739278,1367.925991
2015-01-09 11:00:00,1592.304194,-8.3,1,11,4,1526.873501,1362.772344
2015-01-09 12:00:00,1599.676135,-8.2,1,12,4,1517.58774,1351.097225
2015-01-09 13:00:00,1557.905219,-7.9,1,13,4,1517.119404,1351.283451
2015-01-09 14:00:00,1542.540072,-7.3,1,14,4,1572.823802,1360.736224
2015-01-09 15:00:00,1577.362641,-6.2,1,15,4,1642.24604,1409.768204
2015-01-09 16:00:00,1672.2,-4.3,1,16,4,1757.8,1538.1
2015-01-09 17:00:00,1779.3,-3.3,1,17,4,1914.7,1631.3
2015-01-09 18:00:00,1765.8,-2.3,1,18,4,1924.6,1608.6
2015-01-09 19:00:00,1727.5,-2.4,1,19,4,1891.4,1567.4
2015-01-09 20:00:00,1681.2,-2.7,1,20,4,1837.4,1517.3
2015-01-09 21:00:00,1620.1,-3.6,1,21,4,1781.2,1443.6
2015-01-09 22:00:00,1526.6,-4.1,1,22,4,1671.2,1357.9
2015-01-09 23:00:00,1436.5,-4.3,1,23,4,1552.1,1267.0
2015-01-10 00:00:00,1363.8,-5.1,1,0,5,1529.9,1197.1
2015-01-10 01:00:00,1328.1,-6.0,1,1,5,1538.5,1156.3
2015-01-10 02:00:00,1308.9,-6.9,1,2,5,1478.5,1134.3
2015-01-10 03:00:00,1308.1,-7.7,1,3,5,1456.9,1128.3
2015-01-10 04:00:00,1320.7,-8.2,1,4,5,1484.0,1142.4
