date,netload,tmp,month,hour,dayofweek,mw_2,mw_7
2015-01-08 00:00:00,2462.3,-13.9,1,0,3,2173.5,2338.0
2015-01-08 01:00:00,2366.1,-14.2,1,1,3,2080.4,2164.1
2015-01-08 02:00:00,2310.6,-14.8,1,2,3,2034.1,2060.0
2015-01-08 03:00:00,2288.1,-15.6,1,3,3,2017.9,1989.3
2015-01-08 04:00:00,2320.7,-16.0,1,4,3,2045.2,1968.8
2015-01-08 05:00:00,2453.7,-17.0,1,5,3,2174.3,1986.3
2015-01-08 06:00:00,2720.5,-17.8,1,6,3,2439.3,2022.0
2015-01-08 07:00:00,2895.381555,-18.1,1,7,3,2620.192328,2015.348132
2015-01-08 08:00:00,2827.057423,-19.0,1,8,3,2615.420635,1884.719796
2015-01-08 09:00:00,2701.331466,-19.7,1,9,3,2573.13442,1828.24188
2015-01-08 10:00:00,2590.817436,-20.4,1,10,3,2390.692067,1813.658101
2015-01-08 11:00:00,2603.185841,-20.8,1,11,3,2346.869277,1827.480618
2015-01-08 12:00:00,2767.62273,-20.9,1,12,3,2407.739241,1845.360884
2015-01-08 13:00:00,2686.524104,-18.0,1,13,3,2382.015074,1890.191813
2015-01-08 14:00:00,2533.629873,-13.5,1,14,3,2485.854244,2009.670065
2015-01-08 15:00:00,2717.44737,-11.6,1,15,3,2649.078612,2283.956571
2015-01-08 16:00:00,3039.280478,-9.7,1,16,3,2986.8,2518.0
2015-01-08 17:00:00,3334.7,-8.4,1,17,3,3237.6,2845.7
2015-01-08 18:00:00,3373.2,-7.4,1,18,3,3273.4,2859.5
2015-01-08 19:00:00,3306.6,-7.1,1,19,3,3210.2,2805.8
2015-01-08 20:00:00,3215.2,-7.4,1,20,3,3104.3,2743.7
2015-01-08 21:00:00,3044.0,-8.5,1,21,3,2930.7,2669.7
2015-01-08 22:00:00,2778.4,-9.2,1,22,3,2664.4,2438.0
2015-01-08 23:00:00,2528.4,-9.3,1,23,3,2403.2,2220.0
2015-01-09 00:00:00,2353.5,-9.4,1,0,4,2236.8,2039.1
2015-01-09 01:00:00,2250.4,-9.6,1,1,4,2137.7,1909.6
2015-01-09 02:00:00,2174.9,-10.4,1,2,4,2081.8,1838.7
2015-01-09 03:00:00,2133.8,-10.9,1,3,4,2064.5,1816.8
2015-01-09 04:00:00,2151.4,-10.3,1,4,4,2091.8,1836.7
2015-01-09 05:00:00,2260.1,-10.1,1,5,4,2215.3,1931.1
2015-01-09 06:00:00,2509.7,-10.0,1,6,4,2478.4,2080.2
2015-01-09 07:00:00,2713.721095,-9.3,1,7,4,2664.14725,2195.5
2015-01-09 08:00:00,2709.504267,-8.1,1,8,4,2645.880007,2268.546288
2015-01-09 09:00:00,2567.789784,-8.2,1,9,4,2511.291058,2323.280401
2015-01-09 10:00:00,2581.899361,-8.4,1,10,4,2426.535897,2312.93637
2015-01-09 11:00:00,2522.016587,-8.3,1,11,4,2496.267808,2334.584834
2015-01-09 12:00:00,2491.292313,-8.2,1,12,4,2550.492494,2174.626409
2015-01-09 13:00:00,2429.237645,-7.9,1,13,4,2589.275049,2211.120798
2015-01-09 14:00:00,2457.120628,-7.3,1,14,4,2574.280637,2211.678365
2015-01-09 15:00:00,2617.268699,-6.2,1,15,4,2827.425539,2381.892301
2015-01-09 16:00:00,2877.037321,-4.3,1,16,4,3036.8,2621.2
2015-01-09 17:00:00,3137.1,-3.3,1,17,4,3337.6,2914.2
2015-01-09 18:00:00,3157.9,-2.3,1,18,4,3406.4,2940.1
2015-01-09 19:00:00,3077.8,-2.4,1,19,4,3362.9,2877.5
2015-01-09 20:00:00,2985.4,-2.7,1,20,4,3290.2,2825.1
2015-01-09 21:00:00,2853.3,-3.6,1,21,4,3114.6,2701.1
2015-01-09 22:00:00,2662.3,-4.1,1,22,4,2863.2,2523.2
2015-01-09 23:00:00,2449.9,-4.3,1,23,4,2617.7,2279.1
2015-01-10 00:00:00,2290.9,-5.1,1,0,5,2462.3,2082.3
2015-01-10 01:00:00,2186.7,-6.0,1,1,5,2366.1,1954.5
2015-01-10 02:00:00,2118.2,-6.9,1,2,5,2310.6,1885.8
2015-01-10 03:00:00,2092.2,-7.7,1,3,5,2288.1,1844.8
2015-01-10 04:00:00,2103.2,-8.2,1,4,5,2320.7,1845.5
2015-01-10 05:00:00,2157.4,-8.5,1,5,5,2453.7,1887.3
2015-01-10 06:00:00,2273.9,-9.1,1,6,5,2720.5,1987.5
2015-01-10 07:00:00,2377.719194,-9.5,1,7,5,2895.381555,2072.240811
2015-01-10 08:00:00,2428.772135,-10.0,1,8,5,2827.057423,2149.761286
2015-01-10 09:00:00,2343.883229,-10.4,1,9,5,2701.331466,2216.96002
2015-01-10 10:00:00,2392.464717,-10.6,1,10,5,2590.817436,2384.821093
2015-01-10 11:00:00,2338.087184,-11.1,1,11,5,2603.185841,2403.780532
2015-01-10 12:00:00,2267.660381,-11.9,1,12,5,2767.62273,2415.988825
2015-01-10 13:00:00,2249.00024,-11.1,1,13,5,2686.524104,2466.732156
2015-01-10 14:00:00,2309.589068,-10.3,1,14,5,2533.629873,2440.433619
2015-01-10 15:00:00,2514.492865,-9.5,1,15,5,2717.44737,2527.997759
2015-01-10 16:00:00,2765.585595,-8.6,1,16,5,3039.280478,2731.1
2015-01-10 17:00:00,3053.2,-7.9,1,17,5,3334.7,2888.6
2015-01-10 18:00:00,3087.4,-7.2,1,18,5,3373.2,2860.3
2015-01-10 19:00:00,3025.6,-6.7,1,19,5,3306.6,2779.7
2015-01-10 20:00:00,2959.2,-6.5,1,20,5,3215.2,2680.2
2015-01-10 21:00:00,2853.0,-7.2,1,21,5,3044.0,2546.7
2015-01-10 22:00:00,2692.1,-8.2,1,22,5,2778.4,2362.1
2015-01-10 23:00:00,2505.7,-9.4,1,23,5,2528.4,2152.1
2015-01-11 00:00:00,2342.3,-10.3,1,0,6,2353.5,1955.3
2015-01-11 01:00:00,2223.9,-10.1,1,1,6,2250.4,1820.8
2015-01-11 02:00:00,2155.2,-10.1,1,2,6,2174.9,1735.9
2015-01-11 03:00:00,2100.5,-10.0,1,3,6,2133.8,1682.4
2015-01-11 04:00:00,2090.3,-10.1,1,4,6,2151.4,1672.4
2015-01-11 05:00:00,2108.0,-10.5,1,5,6,2260.1,1688.6
2015-01-11 06:00:00,2170.7,-11.2,1,6,6,2509.7,1740.1
2015-01-11 07:00:00,2216.030864,-11.2,1,7,6,2713.721095,1799.7
2015-01-11 08:00:00,2219.227316,-12.2,1,8,6,2709.504267,1903.548296
2015-01-11 09:00:00,2144.622028,-12.5,1,9,6,2567.789784,2004.00474
2015-01-11 10:00:00,2126.957349,-11.6,1,10,6,2581.899361,2164.882599
2015-01-11 11:00:00,2126.981117,-10.6,1,11,6,2522.016587,2254.951932
2015-01-11 12:00:00,2150.08994,-10.0,1,12,6,2491.292313,2299.223587
2015-01-11 13:00:00,2104.637395,-9.2,1,13,6,2429.237645,2309.045235
2015-01-11 14:00:00,2247.880107,-8.2,1,14,6,2457.120628,2314.340168
2015-01-11 15:00:00,2397.803453,-6.8,1,15,6,2617.268699,2348.7
2015-01-11 16:00:00,2675.623291,-5.3,1,16,6,2877.037321,2525.0
2015-01-11 17:00:00,2963.5,-4.2,1,17,6,3137.1,2737.0
2015-01-11 18:00:00,2974.3,-3.8,1,18,6,3157.9,2732.7
2015-01-11 19:00:00,2900.9,-3.4,1,19,6,3077.8,2661.4
2015-01-11 20:00:00,2799.6,-3.1,1,20,6,2985.4,2554.7
2015-01-11 21:00:00,2636.4,-2.9,1,21,6,2853.3,2392.3
2015-01-11 22:00:00,2420.6,-2.9,1,22,6,2662.3,2182.7
2015-01-11 23:00:00,2197.2,-2.8,1,23,6,2449.9,1970.5
2015-01-12 00:00:00,2036.5,-2.9,1,0,0,2290.9,1810.8
2015-01-12 01:00:00,1943.8,-3.0,1,1,0,2186.7,1720.0
2015-01-12 02:00:00,1891.3,-2.0,1,2,0,2118.2,1675.7
2015-01-12 03:00:00,1868.2,-1.3,1,3,0,2092.2,1665.4
2015-01-12 04:00:00,1904.4,-0.7,1,4,0,2103.2,1709.3
2015-01-12 05:00:00,2043.8,-0.6,1,5,0,2157.4,1857.2
2015-01-12 06:00:00,2303.2,-0.5,1,6,0,2273.9,2143.8
2015-01-12 07:00:00,2498.3,-1.9,1,7,0,2377.719194,2334.5
