date,netload,tmp,month,hour,dayofweek,mw_2,mw_7
2015-01-08 00:00:00,388.7,-13.9,1,0,3,333.6,336.5
2015-01-08 01:00:00,379.0,-14.2,1,1,3,323.6,317.7
2015-01-08 02:00:00,377.4,-14.8,1,2,3,317.7,307.0
2015-01-08 03:00:00,377.9,-15.6,1,3,3,314.1,300.6
2015-01-08 04:00:00,384.7,-16.0,1,4,3,320.7,298.4
2015-01-08 05:00:00,409.2,-17.0,1,5,3,342.8,304.1
2015-01-08 06:00:00,453.7,-17.8,1,6,3,387.5,311.4
2015-01-08 07:00:00,476.2,-18.1,1,7,3,412.6,313.9
2015-01-08 08:00:00,459.6822535,-19.0,1,8,3,391.6528333,303.9180115
2015-01-08 09:00:00,445.5344039,-19.7,1,9,3,377.9677343,328.7855451
2015-01-08 10:00:00,446.4597211,-20.4,1,10,3,377.721399,332.5021834
2015-01-08 11:00:00,441.8507725,-20.8,1,11,3,376.9801687,319.306558
2015-01-08 12:00:00,424.5257089,-20.9,1,12,3,374.5629552,317.0225787
2015-01-08 13:00:00,422.4525159,-18.0,1,13,3,377.9370801,328.8419865
2015-01-08 14:00:00,394.6995074,-13.5,1,14,3,383.4240518,335.8092605
2015-01-08 15:00:00,430.2061008,-11.6,1,15,3,405.2986986,338.0240241
2015-01-08 16:00:00,464.4,-9.7,1,16,3,448.5521564,370.2
2015-01-08 17:00:00,515.3,-8.4,1,17,3,490.7,408.2
2015-01-08 18:00:00,528.8,-7.4,1,18,3,509.7,412.5
2015-01-08 19:00:00,526.4,-7.1,1,19,3,508.7,404.8
2015-01-08 20:00:00,510.7,-7.4,1,20,3,489.2,394.3
2015-01-08 21:00:00,484.8,-8.5,1,21,3,457.4,377.0
2015-01-08 22:00:00,428.4,-9.2,1,22,3,412.0,345.9
2015-01-08 23:00:00,386.1,-9.3,1,23,3,369.9,320.3
2015-01-09 00:00:00,361.3,-9.4,1,0,4,350.4,290.4
2015-01-09 01:00:00,345.2,-9.6,1,1,4,341.5,273.2
2015-01-09 02:00:00,338.5,-10.4,1,2,4,330.7,264.4
2015-01-09 03:00:00,338.3,-10.9,1,3,4,327.2,266.4
2015-01-09 04:00:00,340.0,-10.3,1,4,4,337.0,274.0
2015-01-09 05:00:00,358.8,-10.1,1,5,4,359.0,288.8
2015-01-09 06:00:00,399.1,-10.0,1,6,4,405.1,311.5
2015-01-09 07:00:00,427.1,-9.3,1,7,4,429.5,330.3
2015-01-09 08:00:00,409.1974205,-8.1,1,8,4,404.7781124,341.7832289
2015-01-09 09:00:00,403.3828182,-8.2,1,9,4,382.3995943,343.9866742
2015-01-09 10:00:00,393.2150187,-8.4,1,10,4,379.7667969,326.4615131
2015-01-09 11:00:00,368.9369258,-8.3,1,11,4,367.2355016,331.5415382
2015-01-09 12:00:00,356.8070216,-8.2,1,12,4,371.375093,326.187504
2015-01-09 13:00:00,355.3066857,-7.9,1,13,4,374.0069226,311.646941
2015-01-09 14:00:00,359.5554711,-7.3,1,14,4,387.9129627,321.6604519
2015-01-09 15:00:00,378.702467,-6.2,1,15,4,414.2141879,345.1426174
2015-01-09 16:00:00,413.790755,-4.3,1,16,4,457.3707155,370.9
2015-01-09 17:00:00,461.9,-3.3,1,17,4,518.9,410.3
2015-01-09 18:00:00,470.2,-2.3,1,18,4,536.7,414.3
2015-01-09 19:00:00,451.5,-2.4,1,19,4,530.4,404.5
2015-01-09 20:00:00,436.7,-2.7,1,20,4,518.7,394.9
