date,month,hour,dayofweek,netload,tmpc,mw2day,mw7day,poten_2,poten_7
2017-01-08 00:00:00,1,0,6,2996.03,-0.299,3534.8,2743.04,441.4846153846152,0.0
2017-01-08 01:00:00,1,1,6,2935.39,-0.609,3479.42,2594.63,465.5369230769229,0.0
2017-01-08 02:00:00,1,2,6,2930.43,-0.803,3481.6,2493.52,489.6230769230765,0.0
2017-01-08 03:00:00,1,3,6,2942.62,-1.051,3547.66,2481.93,549.7319230769231,0.0
2017-01-08 04:00:00,1,4,6,3007.92,-1.205,3776.93,2483.72,724.143846153846,0.0
2017-01-08 05:00:00,1,5,6,3155.65,-1.251,4398.46,2527.31,1195.1957692307697,0.0
2017-01-08 06:00:00,1,6,6,3398.2,-1.274,5107.79,2632.95,1645.452692307692,0.0
2017-01-08 07:00:00,1,7,6,3699.22,-1.246,5346.3,2755.2,1607.1942307692311,0.0
2017-01-08 08:00:00,1,8,6,3928.97,-0.922,5293.65,2922.99,1350.1084615384616,0.0
2017-01-08 09:00:00,1,9,6,4082.74,-0.453,5300.92,3161.06,1224.230384615385,0.0
2017-01-08 10:00:00,1,10,6,4119.0,-0.014,5167.27,3318.19,1063.7888461538469,0.0
2017-01-08 11:00:00,1,11,6,4100.79,0.456,4897.24,3379.66,838.0565384615379,0.0
2017-01-08 12:00:00,1,12,6,4047.38,0.663,4756.96,3360.72,749.3257692307689,0.0
2017-01-08 13:00:00,1,13,6,4019.72,0.657,4642.33,3386.06,649.7338461538461,0.0
2017-01-08 14:00:00,1,14,6,4047.61,0.414,4624.58,3469.48,602.5111538461542,0.0
2017-01-08 15:00:00,1,15,6,4357.08,0.262,4944.3,3772.72,659.9592307692319,0.0
2017-01-08 16:00:00,1,16,6,4800.08,0.26,5306.65,4103.71,591.9207692307682,0.0
2017-01-08 17:00:00,1,17,6,4695.09,0.35,5136.18,4031.89,530.4538461538459,0.0
2017-01-08 18:00:00,1,18,6,4369.52,0.482,4731.36,3821.21,437.8534615384615,0.0
2017-01-08 19:00:00,1,19,6,4054.09,0.638,4384.81,3545.11,358.24923076923096,0.0
2017-01-08 20:00:00,1,20,6,3774.54,0.782,4092.42,3317.04,305.17923076923034,0.0
2017-01-08 21:00:00,1,21,6,3469.48,0.954,3764.51,3081.59,218.24923076923096,0.0
2017-01-08 22:00:00,1,22,6,3183.52,1.167,3442.76,2820.42,125.25653846153864,0.0
2017-01-08 23:00:00,1,23,6,3016.02,1.408,3232.6,2646.61,78.31884615384615,0.0
2017-01-09 00:00:00,1,0,0,2930.2,1.643,3080.84,2538.1,0.0,0.0
2017-01-09 01:00:00,1,1,0,2873.64,1.839,2997.29,2527.6,0.0,0.0
2017-01-09 02:00:00,1,2,0,2889.13,1.988,2977.14,2536.6,0.0,0.0
2017-01-09 03:00:00,1,3,0,3005.35,2.106,3021.87,2657.25,23.941923076923104,0.0
2017-01-09 04:00:00,1,4,0,3249.22,2.204,3087.61,2928.15,34.82384615384626,0.0
2017-01-09 05:00:00,1,5,0,3942.47,2.279,3263.08,3556.24,59.81576923076955,352.9757692307694
2017-01-09 06:00:00,1,6,0,4666.15,2.312,3567.91,4269.67,105.5726923076918,807.332692307692
2017-01-09 07:00:00,1,7,0,4934.97,2.339,3911.99,4631.27,172.88423076923073,892.1642307692314
2017-01-09 08:00:00,1,8,0,4926.76,2.46,4138.19,4694.16,194.6484615384616,750.6184615384618
2017-01-09 09:00:00,1,9,0,4988.15,2.658,4225.76,4758.43,149.07038461538514,681.7403846153852
2017-01-09 10:00:00,1,10,0,4924.77,2.819,4207.87,4671.15,104.38884615384632,567.6688461538461
2017-01-09 11:00:00,1,11,0,4817.15,2.863,4154.4,4514.16,95.21653846153777,454.976538461538
2017-01-09 12:00:00,1,12,0,4830.81,2.747,4073.16,4523.51,65.52576923076867,515.875769230769
2017-01-09 13:00:00,1,13,0,4713.46,2.421,4050.76,4467.19,58.16384615384641,474.5938461538458
2017-01-09 14:00:00,1,14,0,4613.05,1.862,4110.37,4473.04,88.3011538461542,450.9711538461543
2017-01-09 15:00:00,1,15,0,4829.08,1.507,4382.37,4794.94,98.02923076923162,510.5992307692313
2017-01-09 16:00:00,1,16,0,5182.88,1.355,4739.13,5233.88,24.40076923076868,519.1507692307687
2017-01-09 17:00:00,1,17,0,4938.14,1.235,4633.78,5005.63,28.05384615384537,399.9038461538457
2017-01-09 18:00:00,1,18,0,4545.61,1.112,4260.34,4684.39,0.0,390.8834615384621
2017-01-09 19:00:00,1,19,0,4211.45,0.957,3983.45,4356.18,0.0,329.61923076923085
2017-01-09 20:00:00,1,20,0,3919.07,0.84,3764.17,4076.87,0.0,289.62923076923016
2017-01-09 21:00:00,1,21,0,3562.52,0.799,3541.83,3726.71,0.0,180.4492307692308
2017-01-09 22:00:00,1,22,0,3282.6,0.777,3340.42,3443.52,22.916538461538494,126.0165384615384
2017-01-09 23:00:00,1,23,0,3118.58,0.813,3153.27,3172.17,0.0,17.888846153846316
2017-01-10 00:00:00,1,0,1,3045.77,0.874,2996.03,2998.4,0.0,0.0
2017-01-10 01:00:00,1,1,1,2943.34,0.942,2935.39,2865.58,0.0,0.0
2017-01-10 02:00:00,1,2,1,3027.22,0.979,2930.43,2852.63,0.0,0.0
2017-01-10 03:00:00,1,3,1,3158.92,1.007,2942.62,2909.65,0.0,0.0
2017-01-10 04:00:00,1,4,1,3365.76,1.039,3007.92,3108.08,0.0,55.29384615384606
2017-01-10 05:00:00,1,5,1,4011.74,1.082,3155.65,3653.06,0.0,449.7957692307696
2017-01-10 06:00:00,1,6,1,4642.07,1.102,3398.2,4325.33,0.0,862.9926923076919
2017-01-10 07:00:00,1,7,1,4899.45,1.088,3699.22,4751.67,0.0,1012.564230769231
2017-01-10 08:00:00,1,8,1,4889.01,1.157,3928.97,4843.81,0.0,900.2684615384624
2017-01-10 09:00:00,1,9,1,4917.99,1.299,4082.74,4865.92,6.050384615384701,789.230384615385
2017-01-10 10:00:00,1,10,1,4895.5,1.437,4119.0,4729.46,15.518846153846424,625.9788461538465
2017-01-10 11:00:00,1,11,1,4792.43,1.578,4100.79,4668.51,41.60653846153809,609.3265384615383
2017-01-10 12:00:00,1,12,1,4848.31,1.656,4047.38,4626.13,39.74576923076893,618.4957692307689
2017-01-10 13:00:00,1,13,1,4820.36,1.592,4019.72,4568.15,27.12384615384599,575.5538461538458
2017-01-10 14:00:00,1,14,1,4735.94,1.359,4047.61,4456.5,25.54115384615443,434.4311538461543
2017-01-10 15:00:00,1,15,1,4906.74,1.19,4357.08,4665.86,72.73923076923165,381.5192307692314
2017-01-10 16:00:00,1,16,1,5203.28,1.245,4800.08,4948.13,85.35076923076849,233.40076923076867
2017-01-10 17:00:00,1,17,1,4946.8,1.286,4695.09,4715.58,89.36384615384577,109.85384615384557
2017-01-10 18:00:00,1,18,1,4587.65,1.331,4369.52,4440.65,76.01346153846225,147.14346153846145
2017-01-10 19:00:00,1,19,1,4241.29,1.344,4054.09,4115.69,27.529230769230708,89.12923076923016
2017-01-10 20:00:00,1,20,1,3928.58,1.41,3774.54,3810.4,0.0,23.15923076923036
2017-01-10 21:00:00,1,21,1,3567.34,1.554,3469.48,3438.41,0.0,0.0
2017-01-10 22:00:00,1,22,1,3252.11,1.672,3183.52,3171.98,0.0,0.0
2017-01-10 23:00:00,1,23,1,3104.92,1.724,3016.02,3057.84,0.0,0.0
2017-01-11 00:00:00,1,0,2,2923.3,1.777,2930.2,2846.34,0.0,0.0
2017-01-11 01:00:00,1,1,2,2832.65,1.937,2873.64,2878.36,0.0,0.0
2017-01-11 02:00:00,1,2,2,2888.57,2.146,2889.13,2886.3,0.0,0.0
2017-01-11 03:00:00,1,3,2,2983.06,2.297,3005.35,2858.03,7.421923076923122,0.0
2017-01-11 04:00:00,1,4,2,3174.25,2.264,3249.22,3035.87,196.433846153846,0.0
2017-01-11 05:00:00,1,5,2,3811.29,2.142,3942.47,3657.88,739.2057692307694,454.6157692307697
2017-01-11 06:00:00,1,6,2,4459.38,2.006,4666.15,4363.27,1203.8126923076916,900.9326923076924
2017-01-11 07:00:00,1,7,2,4725.24,1.916,4934.97,4639.35,1195.8642307692312,900.2442307692313
2017-01-11 08:00:00,1,8,2,4785.09,2.088,4926.76,4588.08,983.2184615384622,644.5384615384619
2017-01-11 09:00:00,1,9,2,4929.6,2.53,4988.15,4648.09,911.4603846153846,571.4003846153851
2017-01-11 10:00:00,1,10,2,4925.42,3.074,4924.77,4610.97,821.2888461538469,507.4888461538467
2017-01-11 11:00:00,1,11,2,4836.75,3.362,4817.15,4490.15,757.9665384615378,430.96653846153777
2017-01-11 12:00:00,1,12,2,4753.23,3.569,4830.81,4497.46,823.1757692307692,489.82576923076886
2017-01-11 13:00:00,1,13,2,4612.01,3.833,4713.46,4484.97,720.8638461538462,492.3738461538464
2017-01-11 14:00:00,1,14,2,4462.95,3.882,4613.05,4457.18,590.9811538461545,435.1111538461546
2017-01-11 15:00:00,1,15,2,4647.4,3.73,4829.08,4687.29,544.7392307692317,402.9492307692317
2017-01-11 16:00:00,1,16,2,5035.49,3.638,5182.88,5103.47,468.1507692307687,388.7407692307688
2017-01-11 17:00:00,1,17,2,4802.05,3.581,4938.14,4914.25,332.41384615384595,308.5238461538456
2017-01-11 18:00:00,1,18,2,4491.23,3.591,4545.61,4619.74,252.1034615384615,326.2334615384616
2017-01-11 19:00:00,1,19,2,4144.85,3.673,4211.45,4339.7,184.8892307692304,313.1392307692304
2017-01-11 20:00:00,1,20,2,3934.39,3.709,3919.07,4086.6,131.82923076923043,299.3592307692302
2017-01-11 21:00:00,1,21,2,3607.08,3.672,3562.52,3731.78,16.259230769230726,185.5192307692309
2017-01-11 22:00:00,1,22,2,3303.64,3.589,3282.6,3427.15,0.0,109.64653846153853
2017-01-11 23:00:00,1,23,2,3102.37,3.471,3118.58,3315.43,0.0,161.14884615384608
2017-01-12 00:00:00,1,0,3,3062.91,3.35,3045.77,3123.4,0.0,30.084615384615063
2017-01-12 01:00:00,1,1,3,2980.25,3.298,2943.34,3056.56,0.0,42.676923076922776
2017-01-12 02:00:00,1,2,3,3005.93,3.29,3027.22,3065.02,35.24307692307639,73.04307692307657
2017-01-12 03:00:00,1,3,3,3056.07,3.109,3158.92,3173.87,160.99192307692329,175.9419230769231
2017-01-12 04:00:00,1,4,3,3283.99,2.993,3365.76,3420.98,312.97384615384635,368.19384615384615
2017-01-12 05:00:00,1,5,3,3802.76,2.924,4011.74,4064.1,808.4757692307694,860.8357692307695
2017-01-12 06:00:00,1,6,3,4554.25,2.871,4642.07,4873.35,1179.7326923076917,1411.0126923076923
2017-01-12 07:00:00,1,7,3,4794.23,2.881,4899.45,5143.28,1160.3442307692308,1404.1742307692307
2017-01-12 08:00:00,1,8,3,4725.84,3.023,4889.01,5143.33,945.4684615384622,1199.788461538462
2017-01-12 09:00:00,1,9,3,4733.34,3.306,4917.99,5185.67,841.3003846153847,1108.980384615385
2017-01-12 10:00:00,1,10,3,4620.7,3.587,4895.5,5132.64,792.0188461538464,1029.1588461538468
2017-01-12 11:00:00,1,11,3,4551.8,3.748,4792.43,5015.22,733.2465384615384,956.0365384615384
2017-01-12 12:00:00,1,12,3,4526.78,3.733,4848.31,5014.03,840.6757692307692,1006.3957692307686
2017-01-12 13:00:00,1,13,3,4482.59,3.478,4820.36,4977.18,827.7638461538459,984.5838461538464
2017-01-12 14:00:00,1,14,3,4431.44,3.016,4735.94,4970.03,713.8711538461539,947.961153846154
2017-01-12 15:00:00,1,15,3,4667.73,2.594,4906.74,5258.97,622.3992307692315,974.629230769232
2017-01-12 16:00:00,1,16,3,5098.86,2.242,5203.28,5710.99,488.5507692307683,996.2607692307683
2017-01-12 17:00:00,1,17,3,4947.82,1.94,4946.8,5507.32,341.0738461538458,901.5938461538452
2017-01-12 18:00:00,1,18,3,4591.93,1.701,4587.65,5166.4,294.14346153846145,872.8934615384615
2017-01-12 19:00:00,1,19,3,4312.43,1.446,4241.29,4841.65,214.72923076923053,815.0892307692302
2017-01-12 20:00:00,1,20,3,4053.21,1.181,3928.58,4542.79,141.3392307692302,755.5492307692302
2017-01-12 21:00:00,1,21,3,3703.13,1.031,3567.34,4212.19,21.07923076923089,665.9292307692303
2017-01-12 22:00:00,1,22,3,3388.71,0.909,3252.11,3877.38,0.0,559.8765384615385
2017-01-12 23:00:00,1,23,3,3179.09,0.745,3104.92,3644.96,0.0,490.6788461538463
2017-01-13 00:00:00,1,0,4,3094.08,0.644,2923.3,3534.8,0.0,441.4846153846152
2017-01-13 01:00:00,1,1,4,3079.87,0.532,2832.65,3479.42,0.0,465.5369230769229
2017-01-13 02:00:00,1,2,4,3110.06,0.478,2888.57,3481.6,0.0,489.6230769230765
2017-01-13 03:00:00,1,3,4,3226.93,0.424,2983.06,3547.66,0.0,549.7319230769231
2017-01-13 04:00:00,1,4,4,3449.16,0.349,3174.25,3776.93,121.46384615384612,724.143846153846
2017-01-13 05:00:00,1,5,4,4103.67,0.295,3811.29,4398.46,608.0257692307696,1195.1957692307697
2017-01-13 06:00:00,1,6,4,4809.73,0.233,4459.38,5107.79,997.042692307692,1645.452692307692
2017-01-13 07:00:00,1,7,4,5045.34,0.116,4725.24,5346.3,986.1342307692308,1607.1942307692311
2017-01-13 08:00:00,1,8,4,4981.96,0.455,4785.09,5293.65,841.5484615384621,1350.1084615384616
2017-01-13 09:00:00,1,9,4,5011.9,0.952,4929.6,5300.92,852.9103846153853,1224.230384615385
2017-01-13 10:00:00,1,10,4,4889.82,1.386,4925.42,5167.27,821.9388461538465,1063.7888461538469
2017-01-13 11:00:00,1,11,4,4699.72,1.691,4836.75,4897.24,777.5665384615381,838.0565384615379
2017-01-13 12:00:00,1,12,4,4593.67,1.796,4753.23,4756.96,745.5957692307684,749.3257692307689
2017-01-13 13:00:00,1,13,4,4399.45,1.43,4612.01,4642.33,619.4138461538464,649.7338461538461
2017-01-13 14:00:00,1,14,4,4375.08,0.378,4462.95,4624.58,440.8811538461541,602.5111538461542
2017-01-13 15:00:00,1,15,4,4644.4,-0.261,4647.4,4944.3,363.05923076923136,659.9592307692319
2017-01-13 16:00:00,1,16,4,5087.17,-0.318,5035.49,5306.65,320.76076923076835,591.9207692307682
2017-01-13 17:00:00,1,17,4,4943.49,-0.333,4802.05,5136.18,196.3238461538458,530.4538461538459
2017-01-13 18:00:00,1,18,4,4590.2,-0.471,4491.23,4731.36,197.72346153846132,437.8534615384615
2017-01-13 19:00:00,1,19,4,4238.63,-0.683,4144.85,4384.81,118.28923076923093,358.24923076923096
2017-01-13 20:00:00,1,20,4,3977.65,-0.722,3934.39,4092.42,147.14923076923014,305.17923076923034
2017-01-13 21:00:00,1,21,4,3681.55,-0.704,3607.08,3764.51,60.81923076923067,218.24923076923096
2017-01-13 22:00:00,1,22,4,3416.07,-0.806,3303.64,3442.76,0.0,125.25653846153864
2017-01-13 23:00:00,1,23,4,3195.63,-0.88,3102.37,3232.6,0.0,78.31884615384615
2017-01-14 00:00:00,1,0,5,3029.64,-0.786,3062.91,3080.84,0.0,0.0
2017-01-14 01:00:00,1,1,5,2939.58,-0.562,2980.25,2997.29,0.0,0.0
2017-01-14 02:00:00,1,2,5,2894.56,-0.198,3005.93,2977.14,13.953076923076424,0.0
2017-01-14 03:00:00,1,3,5,2942.8,0.154,3056.07,3021.87,58.141923076923376,23.941923076923104
2017-01-14 04:00:00,1,4,5,2995.1,0.282,3283.99,3087.61,231.20384615384592,34.82384615384626
2017-01-14 05:00:00,1,5,5,3141.78,0.353,3802.76,3263.08,599.4957692307698,59.81576923076955
2017-01-14 06:00:00,1,6,5,3474.47,0.336,4554.25,3567.91,1091.912692307692,105.5726923076918
2017-01-14 07:00:00,1,7,5,3789.05,0.36,4794.23,3911.99,1055.1242307692305,172.88423076923073
2017-01-14 08:00:00,1,8,5,4000.72,0.724,4725.84,4138.19,782.2984615384621,194.6484615384616
2017-01-14 09:00:00,1,9,5,4065.88,1.274,4733.34,4225.76,656.6503846153851,149.07038461538514
2017-01-14 10:00:00,1,10,5,4020.92,1.769,4620.7,4207.87,517.2188461538462,104.38884615384632
2017-01-14 11:00:00,1,11,5,3942.12,2.092,4551.8,4154.4,492.6165384615383,95.21653846153777
2017-01-14 12:00:00,1,12,5,3860.48,2.16,4526.78,4073.16,519.1457692307686,65.52576923076867
2017-01-14 13:00:00,1,13,5,3832.43,1.847,4482.59,4050.76,489.99384615384633,58.16384615384641
2017-01-14 14:00:00,1,14,5,3856.83,1.125,4431.44,4110.37,409.3711538461539,88.3011538461542
2017-01-14 15:00:00,1,15,5,4163.96,0.594,4667.73,4382.37,383.3892307692313,98.02923076923162
2017-01-14 16:00:00,1,16,5,4601.92,0.447,5098.86,4739.13,384.1307692307682,24.40076923076868
2017-01-14 17:00:00,1,17,5,4470.46,0.451,4947.82,4633.78,342.09384615384533,28.05384615384537
2017-01-14 18:00:00,1,18,5,4131.35,0.524,4591.93,4260.34,298.4234615384621,0.0
2017-01-14 19:00:00,1,19,5,3933.54,0.57,4312.43,3983.45,285.86923076923085,0.0
2017-01-14 20:00:00,1,20,5,3658.66,0.524,4053.21,3764.17,265.9692307692303,0.0
2017-01-14 21:00:00,1,21,5,3424.62,0.53,3703.13,3541.83,156.86923076923085,0.0
2017-01-14 22:00:00,1,22,5,3238.22,0.496,3388.71,3340.42,71.20653846153846,22.916538461538494
2017-01-14 23:00:00,1,23,5,3063.04,0.396,3179.09,3153.27,24.80884615384639,0.0
2017-01-15 00:00:00,1,0,6,2917.26,0.268,3094.08,2996.03,0.7646153846148991,0.0
2017-01-15 01:00:00,1,1,6,2855.18,0.005,3079.87,2935.39,65.98692307692272,0.0
2017-01-15 02:00:00,1,2,6,2832.46,-0.343,3110.06,2930.43,118.08307692307652,0.0
2017-01-15 03:00:00,1,3,6,2836.83,-0.673,3226.93,2942.62,229.00192307692305,0.0
2017-01-15 04:00:00,1,4,6,2890.18,-1.005,3449.16,3007.92,396.373846153846,0.0
2017-01-15 05:00:00,1,5,6,3083.1,-1.229,4103.67,3155.65,900.4057692307697,0.0
2017-01-15 06:00:00,1,6,6,3379.67,-1.529,4809.73,3398.2,1347.3926923076915,0.0
2017-01-15 07:00:00,1,7,6,3674.13,-1.605,5045.34,3699.22,1306.234230769231,0.0
2017-01-15 08:00:00,1,8,6,3887.44,-1.034,4981.96,3928.97,1038.418461538462,0.0
2017-01-15 09:00:00,1,9,6,3971.99,-0.206,5011.9,4082.74,935.2103846153846,6.050384615384701
2017-01-15 10:00:00,1,10,6,3956.19,0.403,4889.82,4119.0,786.3388461538461,15.518846153846424
2017-01-15 11:00:00,1,11,6,3876.84,0.801,4699.72,4100.79,640.5365384615384,41.60653846153809
2017-01-15 12:00:00,1,12,6,3780.65,0.927,4593.67,4047.38,586.0357692307689,39.74576923076893
2017-01-15 13:00:00,1,13,6,3766.85,0.407,4399.45,4019.72,406.853846153846,27.12384615384599
2017-01-15 14:00:00,1,14,6,3828.92,-0.928,4375.08,4047.61,353.01115384615423,25.54115384615443
2017-01-15 15:00:00,1,15,6,4182.93,-1.806,4644.4,4357.08,360.05923076923136,72.73923076923165
2017-01-15 16:00:00,1,16,6,4794.02,-2.054,5087.17,4800.08,372.44076923076864,85.35076923076849
2017-01-15 17:00:00,1,17,6,4725.65,-2.244,4943.49,4695.09,337.7638461538454,89.36384615384577
2017-01-15 18:00:00,1,18,6,4427.79,-2.43,4590.2,4369.52,296.69346153846163,76.01346153846225
2017-01-15 19:00:00,1,19,6,4136.72,-2.597,4238.63,4054.09,212.06923076923067,27.529230769230708
2017-01-15 20:00:00,1,20,6,3906.73,-2.783,3977.65,3774.54,190.4092307692304,0.0
2017-01-15 21:00:00,1,21,6,3624.06,-2.922,3681.55,3469.48,135.28923076923093,0.0
2017-01-15 22:00:00,1,22,6,3385.68,-2.964,3416.07,3183.52,98.56653846153858,0.0
2017-01-15 23:00:00,1,23,6,3236.94,-2.966,3195.63,3016.02,41.34884615384635,0.0
2017-01-16 00:00:00,1,0,0,3142.59,-2.886,3029.64,2930.2,0.0,0.0
2017-01-16 01:00:00,1,1,0,3114.14,-2.747,2939.58,2873.64,0.0,0.0
2017-01-16 02:00:00,1,2,0,3150.13,-2.679,2894.56,2889.13,0.0,0.0
