date,month,hour,dayofweek,netload,tmpc,mw2day,mw7day,poten_2,poten_7
2017-01-08 00:00:00,1,0,6,73387.0,0.535,75887.0,73330.0,17741.699999999997,15184.699999999995
2017-01-08 01:00:00,1,1,6,71317.0,0.654,74816.0,71806.0,18368.35,15358.35
2017-01-08 02:00:00,1,2,6,67904.0,0.736,72382.0,68195.0,18829.550000000003,14642.550000000005
2017-01-08 03:00:00,1,3,6,65771.0,0.786,71923.0,65672.0,19618.7,13367.699999999995
2017-01-08 04:00:00,1,4,6,65538.0,0.824,74737.0,64842.0,21123.1,11228.1
2017-01-08 05:00:00,1,5,6,66058.0,0.876,80655.0,64454.0,23765.95,7564.949999999997
2017-01-08 06:00:00,1,6,6,66900.0,0.94,86824.0,64524.0,26560.0,4260.0
2017-01-08 07:00:00,1,7,6,68410.0,1.033,89448.0,64855.0,27293.9,2700.900000000001
2017-01-08 08:00:00,1,8,6,71039.0,1.579,89503.0,66246.0,25874.45,2617.449999999997
2017-01-08 09:00:00,1,9,6,73588.0,2.378,88338.0,68222.0,23565.0,3449.0
2017-01-08 10:00:00,1,10,6,74815.0,3.187,87166.0,69688.0,21378.60000000001,3900.600000000006
2017-01-08 11:00:00,1,11,6,76096.0,3.856,85701.0,72008.0,18813.65,5120.649999999994
2017-01-08 12:00:00,1,12,6,73758.0,4.267,83152.0,71056.0,17720.550000000003,5624.550000000003
2017-01-08 13:00:00,1,13,6,70130.0,4.356,80703.0,68243.0,17413.9,4953.9000000000015
2017-01-08 14:00:00,1,14,6,67748.0,4.033,78455.0,66403.0,17065.75,5013.75
2017-01-08 15:00:00,1,15,6,66715.0,3.154,78358.0,66053.0,17642.9,5337.9000000000015
2017-01-08 16:00:00,1,16,6,69423.0,2.366,83036.0,69303.0,20153.45,6420.449999999997
2017-01-08 17:00:00,1,17,6,74258.0,2.14,87625.0,73364.0,20559.75,6298.75
2017-01-08 18:00:00,1,18,6,75634.0,2.002,87684.0,74695.0,19982.800000000003,6993.800000000003
2017-01-08 19:00:00,1,19,6,73766.0,1.856,84178.0,73274.0,19572.7,8668.699999999997
2017-01-08 20:00:00,1,20,6,71284.0,1.694,80747.0,70978.0,19305.0,9536.0
2017-01-08 21:00:00,1,21,6,71647.0,1.537,81417.0,71702.0,19641.6,9926.6
2017-01-08 22:00:00,1,22,6,72861.0,1.416,82507.0,72428.0,19639.4,9560.4
2017-01-08 23:00:00,1,23,6,70478.0,1.291,79976.0,69366.0,19841.0,9231.0
2017-01-09 00:00:00,1,0,0,68400.0,1.169,78416.0,66988.0,20270.7,8842.699999999997
2017-01-09 01:00:00,1,1,0,67212.0,1.071,76767.0,65675.0,20319.35,9227.35
2017-01-09 02:00:00,1,2,0,64604.0,0.975,73738.0,63066.0,20185.550000000003,9513.550000000005
2017-01-09 03:00:00,1,3,0,63937.0,0.849,72209.0,62297.0,19904.7,9992.699999999995
2017-01-09 04:00:00,1,4,0,66729.0,0.717,72826.0,64296.0,19212.1,10682.1
2017-01-09 05:00:00,1,5,0,72598.0,0.61,74260.0,67976.0,17370.949999999997,11086.949999999995
2017-01-09 06:00:00,1,6,0,78775.0,0.564,76927.0,71995.0,16663.0,11731.0
2017-01-09 07:00:00,1,7,0,81049.0,0.617,79586.0,74893.0,17431.9,12738.9
2017-01-09 08:00:00,1,8,0,81431.0,1.265,82089.0,76875.0,18460.45,13246.449999999995
2017-01-09 09:00:00,1,9,0,81539.0,2.219,82897.0,78624.0,18124.0,13851.0
2017-01-09 10:00:00,1,10,0,81547.0,3.207,82799.0,79837.0,17011.600000000006,14049.600000000006
2017-01-09 11:00:00,1,11,0,81089.0,4.032,83437.0,80947.0,16549.649999999994,14059.649999999994
